,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Viktoriia MESHKOVA (RUS),1,0,0,1
2,Janja GARNBRET (SLO),1,0,0,1
3,Stasa GEJO (SRB),0,1,1,2
4,Petra KLINGLER (SUI),0,1,0,1
5,Eliska ADAMOVSKA (CZE),0,0,1,1
