,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Jakob SCHUBERT (AUT),1,0,0,1
2,Sam AVEZOU (FRA),1,0,0,1
3,Sascha LEHMANN (SUI),0,1,0,1
4,Adam ONDRA (CZE),0,1,0,1
5,Alberto GINÉS LÓPEZ (ESP),0,0,1,1
6,Jonas UTELLI (SUI),0,0,1,1
