Competition,Year,1,2,3
EuroChamp Villars 2024 Boulder-Lead Senior Female,2024,Laura ROGORA (ITA),Ievgeniia KAZBEKOVA (UKR),Zélia AVEZOU (FRA)
EuroChamp Munich 2022 Boulder-Lead Senior Female,2022,Janja GARNBRET (SLO),Mia KRAMPL (SLO),Jessica PILZ (AUT)
