,Country,Discipline,NumAthleteswithChampWins,NumAthleteswithChampPodiums
1,Russia,Speed,9,30
2,Poland,Speed,5,8
3,Ukraine,Speed,4,8
4,France,Speed,2,5
5,Italy,Speed,1,4
6,Czechia,Speed,1,2
7,United States of America,Speed,1,1
8,Kazakhstan,Speed,1,1
9,Spain,Speed,0,1
10,Serbia,Speed,0,1
11,Germany,Speed,0,1
12,Belgium,Speed,0,1
