Competition,Year,1,2,3
EuroChamp Villars 2024 Boulder-Lead Senior Male,2024,Sam AVEZOU (FRA),Sascha LEHMANN (SUI),Jonas UTELLI (SUI)
EuroChamp Munich 2022 Boulder-Lead Senior Male,2022,Jakob SCHUBERT (AUT),Adam ONDRA (CZE),Alberto GINÉS LÓPEZ (ESP)
