,Country,Discipline,NumAthleteswithChampWins,NumAthleteswithChampPodiums
1,France,Boulder,7,12
2,Austria,Boulder,4,6
3,Slovenia,Boulder,4,7
4,Russia,Boulder,2,9
5,Germany,Boulder,2,4
6,Italy,Boulder,1,4
7,Switzerland,Boulder,1,2
8,Serbia,Boulder,1,1
9,Czechia,Boulder,0,3
10,United Kingdom,Boulder,0,3
11,Ukraine,Boulder,0,2
12,Finland,Boulder,0,1
13,Norway,Boulder,0,1
14,Belgium,Boulder,0,1
15,Israel,Boulder,0,1
