,Country,Discipline,Gold,Silver,Bronze,Total
1,Russia,Combined,2,0,1,3
2,Germany,Combined,1,0,0,1
3,Slovenia,Combined,1,0,0,1
4,Switzerland,Combined,0,2,0,2
5,Serbia,Combined,0,1,1,2
6,Austria,Combined,0,1,0,1
7,Czechia,Combined,0,0,1,1
8,Italy,Combined,0,0,1,1
