,Country,Discipline,Gold,Silver,Bronze,Total
1,Slovenia,Boulder-Lead,1,1,0,2
2,France,Boulder-Lead,1,0,1,2
3,Austria,Boulder-Lead,1,0,1,2
4,Italy,Boulder-Lead,1,0,0,1
5,Switzerland,Boulder-Lead,0,1,1,2
6,Ukraine,Boulder-Lead,0,1,0,1
7,Czechia,Boulder-Lead,0,1,0,1
8,Spain,Boulder-Lead,0,0,1,1
