,Country,Discipline,NumAthleteswithChampWins,NumAthleteswithChampPodiums
1,Russia,Combined,2,3
2,Slovenia,Combined,1,1
3,Germany,Combined,1,1
4,Switzerland,Combined,0,2
5,Serbia,Combined,0,1
6,Austria,Combined,0,1
7,Italy,Combined,0,1
8,Czechia,Combined,0,1
