,Country,Discipline,Gold,Silver,Bronze,Total
1,Russia,Speed,10,15,18,43
2,Ukraine,Speed,7,8,3,18
3,Poland,Speed,7,5,4,16
4,France,Speed,3,1,3,7
5,Czechia,Speed,2,0,1,3
6,Italy,Speed,1,2,1,4
7,United States of America,Speed,1,0,0,1
8,Kazakhstan,Speed,1,0,0,1
9,Germany,Speed,0,1,0,1
10,Spain,Speed,0,0,1,1
11,Belgium,Speed,0,0,1,1
