Competition,Year,1,2,3
EuroChamp Moscow 2020 Combined Senior Female,2020,Viktoriia MESHKOVA (RUS),Stasa GEJO (SRB),Eliska ADAMOVSKA (CZE)
EuroChamp Munich 2017 Combined Senior Female,2017,Janja GARNBRET (SLO),Petra KLINGLER (SUI),Stasa GEJO (SRB)
