,Athlete,Country,NumChamps
161,Tim REUSER,Netherlands,2
162,Elko SCHELLINGERHOUT,Netherlands,2
163,David BARRANS,United Kingdom,2
164,Arman TER-MINASYAN,Russia,2
165,Or WECHSLER,Israel,2
166,Martin JECH,Czechia,2
167,Charli BLEIN,France,2
168,Fredrik SERLACHIUS,Sweden,2
169,Matthias SCHIESTL,Austria,2
170,Ruben FIRNENBURG,Germany,2
171,Jonatan FLOR VAZQUEZ,Spain,2
172,Michael PICCOLRUAZ,Italy,2
173,Sébastien BERTHE,Belgium,2
174,Jakub KONECNY,Czechia,2
175,Nao MONCHOIS,France,2
176,Vladislav SHEVCHENKO,Russia,2
177,Bittor ESPARTA FRADE,Spain,2
178,William BOSI,United Kingdom,2
179,Mathias POSCH,Austria,2
180,James POPE,United Kingdom,2
181,Yannick FLOHÉ,Germany,2
182,Alberto GINÉS LÓPEZ,Spain,2
183,Hamish MCARTHUR,United Kingdom,2
184,Nimrod MARCUS,Israel,2
185,Dmitrii POPOV,Russia,2
186,Nikola KRAMARIC,Croatia,2
187,Leto CAVÉ,Netherlands,2
188,Stepan POTUCEK,Czechia,2
189,Nikolay RUSEV,Bulgaria,2
190,Kipras BALTRUNAS,Lithuania,2
191,Gergő VÁLYI,Hungary,2
192,Philipp MARTIN,Germany,2
193,Peter KURIC,Slovakia,2
194,Nino GRÜNENFELDER,Switzerland,2
195,Ram LEVIN,Israel,2
196,Jivko DRUMEV,Bulgaria,1
197,Michael SCHLOTTER,Germany,1
198,Ivica FRANCESCHI,Croatia,1
199,Alv BORGE,Norway,1
200,Frédéric NICOLE,Switzerland,1
201,Stefan FÜRST,Austria,1
202,Klaus BÜCHELE,Germany,1
203,Christoph FINKEL,Germany,1
204,Stefan GLOWACZ,Germany,1
205,Faycal NATECH,France,1
206,Serge BLEIN,France,1
207,Pavel SAMOILINE,Russia,1
208,Tony RYAN,United Kingdom,1
209,Tadej SLABE,Slovenia,1
210,Frédéric COROLLER,France,1
211,Philippe STEULET,Switzerland,1
212,Malcolm SMITH,United Kingdom,1
213,Juri LISSOVOI,Russia,1
214,Mark DELAFIELD,United Kingdom,1
215,Andrzej MARCISZ,Poland,1
216,Josef SCHWAIGER,Austria,1
217,Vladimir JOURKIN,Russia,1
218,Christoph BUCHER,Germany,1
219,Lars WITTROCK,Denmark,1
220,Vincent ALBRAND,France,1
221,Günther UNTERRAINER,Austria,1
222,Stefan BÖSCHENSTEIN,Switzerland,1
223,Andreas HOFMANN,Germany,1
224,Matej MEJOVSEK,Slovenia,1
225,Johnny SCHELKER,Switzerland,1
226,Jean-Baptiste TRIBOUT,France,1
227,Jacek TRZEMZALSKI,Poland,1
228,Jan LINDEGAARD ANDERSEN,Denmark,1
229,Darko DULAR,Croatia,1
230,Marius ONIGA,Romania,1
231,Hakon HANSEN,Norway,1
232,Boris CUJIC,Croatia,1
233,Marcel TOMAN,Czechia,1
234,Tomas SEDLACEK,Czechia,1
235,Vasil KIROV,Bulgaria,1
236,Stefan ADRIAN,Romania,1
237,Vlado PAUSIC,Croatia,1
238,Tomasz SAMITOWSKI,Poland,1
239,Petrov PLAMEN,Bulgaria,1
240,Thomasz REGWELSKI,Poland,1
241,Marcin BARTOCHA,Poland,1
