,Country,Discipline,Gold,Silver,Bronze,Total
1,France,Lead,9,8,11,28
2,Austria,Lead,4,2,4,10
3,Spain,Lead,4,2,3,9
4,Slovenia,Lead,3,7,2,12
5,Switzerland,Lead,3,1,1,5
6,Czechia,Lead,2,6,0,8
7,Russia,Lead,2,1,5,8
8,Belgium,Lead,2,1,1,4
9,Italy,Lead,1,3,0,4
10,Germany,Lead,1,0,3,4
11,United Kingdom,Lead,1,0,1,2
12,Ukraine,Lead,0,1,0,1
13,Netherlands,Lead,0,0,2,2
