,Athlete,Country,NumChamps
1,Sam AVEZOU,France,2
2,Luka POTOCAR,Slovenia,2
3,Mejdi SCHALCK,France,1
4,Jakob SCHUBERT,Austria,1
5,Adam ONDRA,Czechia,1
6,Filip SCHENK,Italy,1
7,Alberto GINÉS LÓPEZ,Spain,1
8,Nicolai UZNIK,Austria,1
9,Simon POTUCEK,Czechia,1
10,Nikolay RUSEV,Bulgaria,1
11,Jonas UTELLI,Switzerland,1
12,Hannes PUMAN,Sweden,1
13,Sascha LEHMANN,Switzerland,1
14,Nicolas COLLIN,Belgium,1
15,Vaidotas MONSTAVICIUS,Lithuania,1
16,Ram LEVIN,Israel,1
17,Guillermo PEINADO FRANGANILLO,Spain,1
18,Elliot ERIKSSON,Sweden,1
19,Toivo ELORANTA,Finland,1
20,Albin MEYER,Sweden,1
21,Nimród Sebestyén TUSNÁDY ,Hungary,1
22,Mykyta MYRONENKO,Ukraine,1
23,Martin MÄNNISTE,Estonia,1
