Competition,Year,1,2,3
EuroChamp Moscow 2020 Combined Senior Male,2020,Aleksei RUBTSOV (RUS),Sascha LEHMANN (SUI),Sergei LUZHETSKII (RUS)
EuroChamp Munich 2017 Combined Senior Male,2017,Jan HOJER (GER),Jakob SCHUBERT (AUT),Michael PICCOLRUAZ (ITA)
