,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Aleksei RUBTSOV (RUS),1,0,0,1
2,Jan HOJER (GER),1,0,0,1
3,Sascha LEHMANN (SUI),0,1,0,1
4,Jakob SCHUBERT (AUT),0,1,0,1
5,Sergei LUZHETSKII (RUS),0,0,1,1
6,Michael PICCOLRUAZ (ITA),0,0,1,1
