,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Janja GARNBRET (SLO),1,0,0,1
2,Laura ROGORA (ITA),1,0,0,1
3,Ievgeniia KAZBEKOVA (UKR),0,1,0,1
4,Mia KRAMPL (SLO),0,1,0,1
5,Jessica PILZ (AUT),0,0,1,1
6,Zélia AVEZOU (FRA),0,0,1,1
