,Athlete,Country,NumChamps
154,Àlex HERNÁNDEZ CASTILLA,Spain,1
155,Christoph HANKE,Germany,1
156,Marek WOJCIK,Poland,1
157,Tommaso PASQUA,Italy,1
158,Michal LEWICKI,Poland,1
159,Ramel RAHIMKHANOV,Azerbaijan,1
160,Anton POLIAKOV,Russia,1
161,Maksim DIACHKOV,Russia,1
162,Oleksiy YURKO,Ukraine,1
163,Arman TER-MINASYAN,Russia,1
164,Jakub KOZLOWSKI,Poland,1
165,Nikita SUYUSHKIN,Russia,1
166,Vanco NAUNOV,The former Yugoslav Republic of Macedonia,1
167,Karol DENIS,Poland,1
168,Volodymyr ZINCHENKO,Ukraine,1
169,Thomas TAUPORN,Germany,1
170,Ruslan FAIZULLIN,Russia,1
171,David BARRANS,United Kingdom,1
172,Denys ROKOTYANSKII,Ukraine,1
173,Andrii KYTAIKO,Ukraine,1
174,Gyula JUHASZ,Hungary,1
175,Jure BECAN,Slovenia,1
176,Jakub POCIECHA,Poland,1
177,Yuriy POBEREZHETS,Ukraine,1
178,Máté GÁL,Hungary,1
179,Fabian BOSLER,Germany,1
180,Maximilian PORSCHA,Germany,1
181,Luka TRUMBIC,Croatia,1
182,Simon BOSLER,Germany,1
183,Luka KIVELA,Croatia,1
184,Krešimir MORIĆ,Croatia,1
185,Victor KOZLOV,Russia,1
186,Max RUDIGIER,Austria,1
187,Eirik birkelund OLSEN,Norway,1
188,Magnus MIDTBOE,Norway,1
189,Florian BÖBEL,Germany,1
190,Zufar NIGMANOV,Russia,1
191,Klemen BECAN,Slovenia,1
192,Ivan NOVIKOV,Russia,1
193,Peter PUTZ,Austria,1
194,Matej SVUB,Slovakia,1
195,Anatoly SKRIPOV,Russia,1
196,Martin SIFRA,Czechia,1
197,Jurgen LIS,Belgium,1
198,Rafal MUDA,Poland,1
199,Björn STRÖMBERG,Sweden,1
200,Beka NAVERIANI,Georgia,1
201,Nicky DE LEEUW,Netherlands,1
202,Stefan VUJIC,Serbia,1
203,Erik CARLSSON,Sweden,1
204,Bálint KUCSERA,Hungary,1
205,Thomas DUPIN,France,1
206,Soso KATSITADZE,Georgia,1
207,Daniel WINKLER,Switzerland,1
208,Aleksei PORTSEV,Russia,1
