,Country,Discipline,NumAthleteswithChampWins,NumAthleteswithChampPodiums
1,Slovenia,Boulder-Lead,1,2
2,Austria,Boulder-Lead,1,2
3,Italy,Boulder-Lead,1,1
4,France,Boulder-Lead,1,2
5,Switzerland,Boulder-Lead,0,2
6,Czechia,Boulder-Lead,0,1
7,Spain,Boulder-Lead,0,1
8,Ukraine,Boulder-Lead,0,1
