,Athlete,Country,NumWCups
139,David VILLIEN,France,22
140,Stephane DUGIT,France,22
141,Oscar BAUDRAND (Current),Canada,22
142,Giovanni PLACCI (Current),Italy,22
143,Arsène DUVAL (Current),France,22
144,Jure BECAN,Slovenia,22
145,Kazuma WATANABE,Japan,22
146,Charli BLEIN,France,22
147,Matthias SCHIESTL,Austria,22
148,Cheung-Chi Shoji CHAN (Current),"China, Hong Kong Special Administrative Region",22
149,Shion OMATA (Current),Japan,22
150,Georg PARMA,Austria,21
151,Jakub KONECNY (Current),Czechia,21
152,Pavel SAMOILINE,Russia,21
153,Vili GUCEK,Slovenia,21
154,Markus HOPPE,Germany,21
155,Victor ESTELLER OCAÑA,Spain,21
156,Bernhard RÖCK,Austria,21
157,Chi-Fung AU (Current),"China, Hong Kong Special Administrative Region",21
158,Jean paul FINNE,Belgium,20
159,Klaus BÜCHELE,Germany,20
160,Daniel ANDRADA JIMENEZ,Spain,20
161,Martin FELIX,Switzerland,20
162,Felipe HO FOGANHOLO (Current),Brazil,20
163,Or WECHSLER,Israel,20
164,Jure RAZTRESEN,Slovenia,20
165,Sébastien BERTHE,Belgium,20
166,Sorato ANRAKU (Current),Japan,20
167,François COFFY,France,19
168,Andrej CHRASTINA,Slovakia,19
169,Pavel KORAN,Czechia,19
170,Christopher CUBITT,United Kingdom,19
171,Tomasz OLEKSY,Poland,19
172,Iouri DOULOUB,Russia,19
173,Michael PICCOLRUAZ (Current),Italy,19
174,Alberto GOTTA,Italy,19
175,Cesar GROSSO,Brazil,19
176,Magnus HÖGSTRÖM,Sweden,19
177,Jernej KRUDER,Slovenia,19
178,Elko SCHELLINGERHOUT,Netherlands,19
179,Tomas RAVANAL,Chile,19
180,Simon POTUCEK (Current),Czechia,18
181,Txema GOMEZ,Spain,18
182,Severino SCASSA,Italy,18
183,Kairat RAKHMETOV,Kazakhstan,18
184,Matej MEJOVSEK,Slovenia,18
185,Christoph BUCHER,Germany,18
186,Colin DUFFY (Current),United States of America,18
187,Jongwon CHON (Current),Republic of Korea,18
188,Dmitrii FAKIRIANOV (Current),Russia,18
189,Stephane HANSSENS,Belgium,18
190,Valeriy KRYUKOV,Ukraine,18
191,Evgenii ZAZULIN,Russia,18
192,Ruben FIRNENBURG,Germany,18
193,Mykhayil TKACHUK,Ukraine,18
194,Alexei TCHERTOV,Russia,17
195,Frédéric NICOLE,Switzerland,17
196,Vincent ALBRAND,France,17
197,Doug ENGLEKIRK,United States of America,17
198,Milan BENIAN,Czechia,17
199,Jurij GOLOB,Slovenia,17
200,Juraj REPCIK,Slovakia,17
201,Luka ZAZVONIL,Slovenia,17
202,Pablo BARBERO ALFONSO,Spain,17
203,Tomoa NARASAKI (Current),Japan,17
204,William BOSI,United Kingdom,17
205,Emmanuel LOPEZ,France,17
206,Mauricio HUERTA,Mexico,17
207,Haibin QU,China,17
208,David FIRNENBURG,Germany,17
209,Martin JECH,Czechia,17
210,Yannick NAGEL (Current),Germany,17
211,Hugo PARMENTIER (Current),France,16
212,Paul JENFT (Current),France,16
213,Neil CARSON,United Kingdom,16
214,Christian CORE,Italy,16
215,Donato LELLA,Italy,16
216,Takaaki TSUIKI,Japan,16
217,Thomas ACHERMANN,Switzerland,16
218,Hamish MCARTHUR (Current),United Kingdom,16
219,Ondrej SVUB,Slovakia,16
220,Arman TER-MINASYAN,Russia,16
221,Santiago DE ALBA FLORES (Current),Mexico,16
222,Joaquin URRUTIA (Current),Chile,16
223,Ties VANCRAEYNEST (Current),Belgium,15
224,Christoph FINKEL,Germany,15
225,Tony RYAN,United Kingdom,15
226,Anton PACEK,Slovakia,15
227,Florian HAGE,Germany,15
228,Serguei CHEMOULINKINE,Russia,15
229,Serguei NOURMAMATOV,Russia,15
230,Mathieu GALLOT-LAVALLEE,France,15
231,Yannick LEGRAND,France,15
232,Romain PAGNOUX,France,15
233,Shuta TANAKA (Current),Japan,15
234,Zento MURASHITA (Current),Japan,15
235,Fabien COMINA,France,15
236,Eric LOPEZ MATEOS,Spain,15
237,Franz KRAKENBERGER,Switzerland,15
238,Naoto HAKAMADA,Japan,15
239,Seungwoon CHO,Republic of Korea,15
240,Naoki SHIMATANI,Japan,15
241,Kevin HUSER,Switzerland,15
242,Shinichiro NOMURA,Japan,15
243,Jules MARCHALAND (Current),France,15
244,Toby ROBERTS (Current),United Kingdom,15
245,Neo SUZUKI (Current),Japan,15
246,Darius RÂPĂ (Current),Romania,15
247,Max BERTONE (Current),France,15
248,Guido KÖSTERMEYER,Germany,14
249,Fabien MAZUER,France,14
250,Pedro PONS,Spain,14
251,Milen VIDENOVSKI,Bulgaria,14
252,Kalin GARBOV,Bulgaria,14
253,Urs SCHÖNENBERGER,Switzerland,14
254,Ivaylo KRASTEV,Bulgaria,14
255,Kai HARADA,Japan,14
256,Nimrod MARCUS (Current),Israel,14
257,Mark BRAND (Current),Netherlands,14
258,Anze PEHARC (Current),Slovenia,14
259,Filip BABICZ,Italy,14
260,Filip BABICZ,Poland,14
261,Fabrizio DROETTO,Italy,14
262,Remy BERGASSE,France,14
263,Hiroto SHIMIZU (Current),Japan,14
264,Stefano CARNATI,Italy,14
265,Benjamin VARGAS (Current),Chile,14
266,Kibeom KWON (Current),Republic of Korea,14
267,Leo AVEZOU (Current),France,13
268,Ionel ENE,Romania,13
269,Yves PHILIPONA,Switzerland,13
270,Marcin WROBEL,Poland,13
271,Daniel DU LAC,France,13
272,Roman FELIX,Switzerland,13
273,Keita MOGAKI,Japan,13
274,Vincent DE GIROLAMO,France,13
275,Adrian BAXTER,United Kingdom,13
276,David BARRANS,United Kingdom,13
277,Mark AMANN,Austria,13
278,Anthony SAPEY,Switzerland,13
279,Shinta OZAWA,Japan,13
280,Erik CARLSSON,Sweden,13
281,Qinghua WANG,China,13
282,Felipe CAMARGO,Brazil,13
283,Zida MA,China,13
284,Maël BONZOM,France,13
285,Yiftach KUSHNIR,Israel,13
286,Raviandi RAMADHAN (Current),Indonesia,13
287,Adrien LEMAIRE (Current),France,12
288,Jacky GODOFFE,France,12
289,Didier RABOUTOU,France,12
290,Stefan GLOWACZ,Germany,12
291,Nicola SARTORI,Italy,12
292,Pascal GISLER,Switzerland,12
293,Diego martín MARSELLA,Argentina,12
294,Andreas PFANNER,Austria,12
295,Martin MOBRÅTEN,Norway,12
296,Cody ROTH,United States of America,12
297,Nathaniel COLEMAN (Current),United States of America,12
298,Vladislav SHEVCHENKO (Current),Russia,12
299,Louis GUNDOLF,Austria,12
300,Hannes VAN DUYSEN (Current),Belgium,12
301,Aurélien CULVER,France,12
302,Markus JUNG,Germany,12
303,Gabor SZEKELY,Hungary,12
304,Tatsumi NITTA,Japan,12
305,Josh LEVIN,United States of America,12
306,Stefan BEDNAR,Slovakia,12
307,Obed HARDMEIER,Switzerland,12
308,Hidemasa NISHIDA,Japan,12
