,Discipline,Country,Gold,Silver,Bronze,Total
1,Boulder,FRA,14,4,16,34
2,Boulder,JPN,12,16,10,38
3,Boulder,AUT,9,8,3,20
4,Boulder,USA,5,0,5,10
5,Boulder,RUS,3,11,6,20
6,Boulder,GBR,3,2,1,6
7,Boulder,SLO,2,2,2,6
8,Boulder,ITA,2,1,1,4
9,Boulder,KOR,2,1,0,3
10,Boulder,UKR,1,2,1,4
11,Boulder,CZE,1,1,2,4
12,Boulder,GER,1,1,0,2
13,Boulder,ESP,1,0,1,2
14,Boulder,AUS,0,1,0,1
15,Boulder,CAN,0,0,1,1
16,Boulder,BEL,0,0,1,1
