,Athlete,Country,NumWCups
154,Makoto YAMAUCHI,Japan,17
155,Cheuk-Hei HO (Current),"China, Hong Kong Special Administrative Region",17
156,Nicolas JANUEL,France,16
157,Heiko WILHELM,Austria,16
158,Blaz RANT,Slovenia,16
159,Paul JENFT (Current),France,16
160,Ondrej SVUB,Slovakia,16
161,Bastien GERLAND,France,16
162,Ferdinand SCHULTE,Netherlands,16
163,Daniel WOODS,United States of America,16
164,Joackym RAMSAMY,France,16
165,Riccardo PIAZZA,Italy,16
166,Simon UNGER,Germany,16
167,Kim MARSCHNER,Germany,16
168,Taisei ISHIMATSU,Japan,16
169,Rodrigo IASI HANADA (Current),Brazil,16
170,Dylan PARKS (Current),Australia,16
171,Frédéric TUSCAN,France,15
172,Baptiste OMETZ,Switzerland,15
173,Filip SCHENK (Current),Italy,15
174,Theis lindegren ELFENBEIN,Denmark,15
175,Kazuma WATANABE,Japan,15
176,Mikhail CHERNIKOV,Russia,15
177,Emanuel MOOSBURGER,Austria,15
178,Nicolas FARCY,Belgium,15
179,Jakub GLOWKA,Poland,15
180,Benoit HEINTZ,France,15
181,Stefano GHISOLFI (Current),Italy,15
182,Josh LARSON,United States of America,15
183,Jonatan FLOR VAZQUEZ,Spain,15
184,Wan Tong LOK (Current),"China, Macao Special Administrative Region",15
185,Ardch INTRACHUPONGSE (Current),Thailand,15
186,Toby ROBERTS (Current),United Kingdom,15
187,Yohann DARD,France,14
188,Alberto GINÉS LÓPEZ (Current),Spain,14
189,Sergei SKORODUMOV,Russia,14
190,Hossein FAMILROHANI (Current),Iran (Islamic Republic of),14
191,Ross FULKERSON (Current),United States of America,14
192,Zan LOVENJAK SUDAR (Current),Slovenia,14
193,Anthony GULLSTEN,Finland,14
194,Akito MATSUSHIMA,Japan,14
195,Remi SAMYN,France,14
196,Nalle HUKKATAIVAL,Finland,14
197,Eric SETHNA,Canada,14
198,David FIRNENBURG,Germany,14
199,Alexander AVERDUNK,Germany,14
200,Moritz HANS,Germany,14
201,Zach RICHARDSON (Current),Canada,14
202,Slav KIROV (Current),Bulgaria,14
203,Michael O'NEILL (Current),Ireland,14
204,Marek REPCIK,Slovakia,13
205,Andrej CHRASTINA,Slovakia,13
206,Tomás MRÁZEK,Czechia,13
207,Sangwon SON,Republic of Korea,13
208,Mauro CALIBANI,Italy,13
209,Bruno MACIAS MATUTANO,Spain,13
210,Geva LEVIN (Current),Israel,13
211,Sergei LUZHETSKII,Russia,13
212,Yuval SHEMLA (Current),Israel,13
213,Philipp MARTIN (Current),Germany,13
214,Rok KLANCNIK,Slovenia,13
215,Masatoshi SUGITA,Japan,13
216,Thomas FARRELL,Australia,13
