,Athlete,Country,NumWCups
157,Mia KRAMPL (Current),Slovenia,13
158,Alejandra CONTRERAS (Current),Chile,13
159,Marine THÉVENET,France,13
160,Asaki HAGIWARA,Japan,13
161,Manon CHAPET,France,13
162,Katharina POSCH,Austria,13
163,Megan MASCARENAS,United States of America,13
164,Mária ČELKOVÁ,Slovakia,13
165,Mia AOYAGI (Current),Japan,13
166,Madison RICHARDSON (Current),Canada,13
167,Nicola HAAGER,Germany,12
168,Delphine MARTIN,France,12
169,Laura LOIKAS (Current),Finland,12
170,Julia CHANOURDIE (Current),France,12
171,Vita LUKAN (Current),Slovenia,12
172,Emily PHILLIPS,United Kingdom,12
173,Lea KEMPF (Current),Austria,12
174,Elizabeth ASHER,United States of America,12
175,Yuka KOBAYASHI,Japan,12
176,Katarzyna EKWINSKA,Poland,12
177,Meagan MARTIN,United States of America,12
178,Claire KASSAY,Australia,12
179,Kaori HOSONO,Japan,12
180,Rebecca FRANGOS (Current),Canada,12
181,Tara HAYES,United Kingdom,12
182,Irina DAZIANO (Current),Italy,12
183,Berta MARTIN SANCHO,Spain,11
184,Isabella RITSCH,Austria,11
185,Emma HAWKE,New Zealand,11
186,Fanny ROGEAUX,France,11
187,Aida TORRES ILLAMOLA (Current),Spain,11
188,Anne-sophie KOLLER,Switzerland,11
189,Molly THOMPSON-SMITH (Current),United Kingdom,11
190,Roberta LONGO,Italy,11
191,Kseniia ALEKSEEVA,Russia,11
192,Angela PAYNE,United States of America,11
193,Manon HILY (Current),France,11
194,Miwa OBA,Japan,11
195,Iuliia PANTELEEVA,Russia,11
196,Helen GILLETT (Current),United States of America,11
197,Nekaia SANDERS (Current),United States of America,11
198,Chloé MINORET,France,10
199,Ingela NILSSON,Sweden,10
200,Claire BELL,United Kingdom,10
201,Iwona GRONKIEWICZ-MARCISZ,Poland,10
202,Tanja BAUER,Germany,10
203,Ruth PLANNELS,Spain,10
204,Renata PISZCZEK,Poland,10
205,Edyta ROPEK,Poland,10
206,Lucka RAKOVEC (Current),Slovenia,10
207,Hannah SLANEY,United Kingdom,10
208,Sienna KOPF,United States of America,10
209,Sunniva Eik HAAVE (Current),Norway,10
210,Nelly KUDROVA,Czechia,10
211,Dinara FAKHRITDINOVA,Russia,10
212,Stacey WELDON,Canada,10
213,Camille FAILLE,France,10
214,Johanna HOLFELD,Germany,10
215,Aleksandra TOTKOVA (Current),Bulgaria,10
216,Yejoo SEO (Current),Republic of Korea,10
217,Zoe PEETERMANS (Current),United Kingdom,10
218,Maya STASIUK (Current),Australia,10
219,Isabelle BIHR,France,9
220,Delphine CHENEVIER PIGNEUR,France,9
221,Lisa RANDS,United States of America,9
222,Tomoko OGAWA,Japan,9
223,Regine STORÅ (Current),Norway,9
224,Tiba VROOM,Netherlands,9
225,Ryu NAKAGAWA (Current),Japan,9
226,Tina johnsen HAFSAAS,Norway,9
227,Nina ARCH,Austria,9
228,Olga BEZHKO,Ukraine,9
229,Holly REID,Canada,9
230,Nóra KIRÁLY,Hungary,9
231,Yuki MATSUSHIMA,Japan,9
232,Annalisa DE MARCO,Italy,9
233,Anna VOLLENWYDER,Austria,9
234,Jara SPÄTE,Switzerland,9
235,Maëlys AGRAPART,France,9
236,Saki KIKUCHI,Japan,9
237,Vanessa Si Yinn TENG (Current),Singapore,9
238,Ai MORI (Current),Japan,9
239,Naïlé MEIGNAN (Current),France,9
240,Yejin JUNG (Current),Republic of Korea,9
241,Nuria MARTI,Spain,8
242,Venera CHERESHNEVA,Russia,8
243,Mirella FRATI,Italy,8
244,Ina DZHAMBAZOVA,Bulgaria,8
245,Gerda RAFFETSEDER,Austria,8
246,Rachel SEYMOUR,United Kingdom,8
247,Viktoriia MESHKOVA (Current),Russia,8
248,Miku ISHII (Current),Japan,8
249,Anouck JAUBERT,France,8
250,Urska REPUSIC,Slovenia,8
251,Claudia BATTAGLIA,Italy,8
252,Agata MODRZEJEWSKA,Poland,8
253,Therese JOHANNESEN,Norway,8
