,Athlete,Country,NumWCups
186,Pankaew PLYPOOLSUP,Thailand,7
187,Pratthana RAKSACHAT,Thailand,5
188,Sara TRAJKOSKA (Current),The former Yugoslav Republic of Macedonia,4
192,Olena OSTAPENKO,Ukraine,67
193,Nataliya PERLOVA,Ukraine,63
194,Ievgeniia KAZBEKOVA (Current),Ukraine,61
195,Shauna COXSEY,United Kingdom,56
196,Molly THOMPSON-SMITH (Current),United Kingdom,50
197,Diane MERRICK,United Kingdom,43
198,Kyra CONDIE (Current),United States of America,64
199,Brooke RABOUTOU (Current),United States of America,45
200,Natalia GROSSMAN (Current),United States of America,39
202,Lucelia BLANCO,Venezuela (Bolivarian Republic of),26
203,Francis RODRIGUEZ,Venezuela (Bolivarian Republic of),22
204,Lianet CASTILLO (Current),Venezuela (Bolivarian Republic of),8
