,Athlete,Country,NumWCups
158,Sorato ANRAKU (Current),Japan,21
159,Jean paul FINNE,Belgium,20
160,Klaus BÜCHELE,Germany,20
161,Daniel ANDRADA JIMENEZ,Spain,20
162,Martin FELIX,Switzerland,20
163,Felipe HO FOGANHOLO (Current),Brazil,20
164,Or WECHSLER,Israel,20
165,Jure RAZTRESEN,Slovenia,20
166,Sébastien BERTHE,Belgium,20
167,François COFFY,France,19
168,Andrej CHRASTINA,Slovakia,19
169,Pavel KORAN,Czechia,19
170,Christopher CUBITT,United Kingdom,19
171,Tomasz OLEKSY,Poland,19
172,Iouri DOULOUB,Russia,19
173,Michael PICCOLRUAZ (Current),Italy,19
174,Alberto GOTTA,Italy,19
175,Dmitrii FAKIRIANOV (Current),Russia,19
176,Cesar GROSSO,Brazil,19
177,Magnus HÖGSTRÖM,Sweden,19
178,Jernej KRUDER,Slovenia,19
179,Elko SCHELLINGERHOUT,Netherlands,19
180,Tomas RAVANAL,Chile,19
181,Simon POTUCEK (Current),Czechia,18
182,Txema GOMEZ,Spain,18
183,Severino SCASSA,Italy,18
184,Kairat RAKHMETOV,Kazakhstan,18
185,Matej MEJOVSEK,Slovenia,18
186,Christoph BUCHER,Germany,18
187,Colin DUFFY (Current),United States of America,18
188,Jongwon CHON (Current),Republic of Korea,18
189,Stephane HANSSENS,Belgium,18
190,Valeriy KRYUKOV,Ukraine,18
191,Evgenii ZAZULIN,Russia,18
192,Ruben FIRNENBURG,Germany,18
193,Mykhayil TKACHUK,Ukraine,18
194,Yannick NAGEL (Current),Germany,18
195,Alexei TCHERTOV,Russia,17
196,Frédéric NICOLE,Switzerland,17
197,Vincent ALBRAND,France,17
198,Doug ENGLEKIRK,United States of America,17
199,Milan BENIAN,Czechia,17
200,Jurij GOLOB,Slovenia,17
201,Juraj REPCIK,Slovakia,17
202,Luka ZAZVONIL,Slovenia,17
203,Pablo BARBERO ALFONSO,Spain,17
204,Tomoa NARASAKI (Current),Japan,17
205,William BOSI,United Kingdom,17
206,Emmanuel LOPEZ,France,17
207,Mauricio HUERTA,Mexico,17
208,Haibin QU,China,17
209,David FIRNENBURG,Germany,17
210,Martin JECH,Czechia,17
211,Joaquin URRUTIA (Current),Chile,17
212,Hugo PARMENTIER (Current),France,16
213,Paul JENFT (Current),France,16
214,Neil CARSON,United Kingdom,16
215,Christian CORE,Italy,16
216,Donato LELLA,Italy,16
217,Takaaki TSUIKI,Japan,16
218,Thomas ACHERMANN,Switzerland,16
219,Zento MURASHITA (Current),Japan,16
220,Hamish MCARTHUR (Current),United Kingdom,16
221,Ondrej SVUB,Slovakia,16
222,Arman TER-MINASYAN,Russia,16
223,Santiago DE ALBA FLORES (Current),Mexico,16
224,Neo SUZUKI (Current),Japan,16
225,Darius RÂPĂ (Current),Romania,16
226,Ties VANCRAEYNEST (Current),Belgium,15
227,Christoph FINKEL,Germany,15
228,Tony RYAN,United Kingdom,15
229,Anton PACEK,Slovakia,15
230,Florian HAGE,Germany,15
231,Serguei CHEMOULINKINE,Russia,15
232,Serguei NOURMAMATOV,Russia,15
233,Mathieu GALLOT-LAVALLEE,France,15
234,Yannick LEGRAND,France,15
235,Romain PAGNOUX,France,15
236,Shuta TANAKA (Current),Japan,15
237,Fabien COMINA,France,15
238,Eric LOPEZ MATEOS,Spain,15
239,Franz KRAKENBERGER,Switzerland,15
240,Naoto HAKAMADA,Japan,15
241,Seungwoon CHO,Republic of Korea,15
242,Naoki SHIMATANI,Japan,15
243,Kevin HUSER,Switzerland,15
244,Shinichiro NOMURA,Japan,15
245,Jules MARCHALAND (Current),France,15
246,Toby ROBERTS (Current),United Kingdom,15
247,Kibeom KWON (Current),Republic of Korea,15
248,Max BERTONE (Current),France,15
249,Guido KÖSTERMEYER,Germany,14
250,Fabien MAZUER,France,14
251,Pedro PONS,Spain,14
252,Milen VIDENOVSKI,Bulgaria,14
253,Kalin GARBOV,Bulgaria,14
254,Urs SCHÖNENBERGER,Switzerland,14
255,Ivaylo KRASTEV,Bulgaria,14
256,Kai HARADA,Japan,14
257,Nimrod MARCUS (Current),Israel,14
258,Mark BRAND (Current),Netherlands,14
259,Anze PEHARC (Current),Slovenia,14
260,Filip BABICZ,Italy,14
261,Filip BABICZ,Poland,14
262,Fabrizio DROETTO,Italy,14
263,Remy BERGASSE,France,14
264,Hiroto SHIMIZU (Current),Japan,14
265,Stefano CARNATI,Italy,14
266,Benjamin VARGAS (Current),Chile,14
267,Leo AVEZOU (Current),France,13
268,Ionel ENE,Romania,13
269,Yves PHILIPONA,Switzerland,13
270,Marcin WROBEL,Poland,13
271,Daniel DU LAC,France,13
272,Roman FELIX,Switzerland,13
273,Keita MOGAKI,Japan,13
274,Vincent DE GIROLAMO,France,13
275,Adrian BAXTER,United Kingdom,13
276,David BARRANS,United Kingdom,13
277,Mark AMANN,Austria,13
278,Anthony SAPEY,Switzerland,13
279,Shinta OZAWA,Japan,13
280,Erik CARLSSON,Sweden,13
281,Qinghua WANG,China,13
282,Felipe CAMARGO,Brazil,13
283,Zida MA,China,13
284,Maël BONZOM,France,13
285,Yiftach KUSHNIR,Israel,13
286,Samuel BUTTERWORTH (Current),United Kingdom,13
287,Raviandi RAMADHAN (Current),Indonesia,13
288,Jan STIPEK (Current),Czechia,13
289,Adrien LEMAIRE (Current),France,12
290,Jacky GODOFFE,France,12
291,Didier RABOUTOU,France,12
292,Stefan GLOWACZ,Germany,12
293,Nicola SARTORI,Italy,12
294,Pascal GISLER,Switzerland,12
295,Diego martín MARSELLA,Argentina,12
296,Andreas PFANNER,Austria,12
297,Martin MOBRÅTEN,Norway,12
298,Cody ROTH,United States of America,12
299,Nathaniel COLEMAN (Current),United States of America,12
300,Vladislav SHEVCHENKO (Current),Russia,12
301,Louis GUNDOLF,Austria,12
302,Hannes VAN DUYSEN (Current),Belgium,12
303,Aurélien CULVER,France,12
304,Markus JUNG,Germany,12
305,Gabor SZEKELY,Hungary,12
306,Tatsumi NITTA,Japan,12
307,Josh LEVIN,United States of America,12
308,Stefan BEDNAR,Slovakia,12
309,Obed HARDMEIER,Switzerland,12
310,Hidemasa NISHIDA,Japan,12
311,Lovro CREP (Current),Slovenia,12
312,Felix MADER (Current),Austria,12
313,Hyunseung NOH (Current),Republic of Korea,12
314,Jim KARN,United States of America,11
315,Werner THON,Germany,11
316,Scott FRANKLIN,United States of America,11
317,Riccardo SCARIAN,Italy,11
318,Michael LEA,United Kingdom,11
319,Davide ZAVAGNIN,Italy,11
