,Year,Country,NumAthletes
215,1991,Israel,0
216,1991,Italy,21
217,1991,Japan,24
218,1991,Jordan,0
219,1991,Kazakhstan,1
220,1991,Kuwait,0
221,1991,Latvia,0
222,1991,Lebanon,0
223,1991,Lithuania,0
224,1991,Luxembourg,1
225,1991,Malaysia,0
226,1991,Mauritius,0
227,1991,Mexico,2
228,1991,Mongolia,0
229,1991,Nepal,0
230,1991,Netherlands,5
231,1991,New Zealand,0
232,1991,Nigeria,0
233,1991,Norway,0
234,1991,Pakistan,0
235,1991,Peru,0
236,1991,Philippines,0
237,1991,Poland,7
238,1991,Portugal,1
239,1991,Puerto Rico,0
240,1991,Republic of Korea,10
241,1991,Romania,5
242,1991,Russia,22
243,1991,Saudi Arabia,0
244,1991,Serbia,0
245,1991,Singapore,0
246,1991,Slovakia,4
247,1991,Slovenia,9
248,1991,South Africa,0
249,1991,Spain,6
250,1991,Sweden,1
251,1991,Switzerland,10
252,1991,Taiwan,5
253,1991,Thailand,0
254,1991,The former Yugoslav Republic of Macedonia,0
255,1991,Turkey,0
256,1991,Ukraine,0
257,1991,United Kingdom,32
258,1991,United States of America,16
259,1991,Uzbekistan,0
260,1991,Venezuela (Bolivarian Republic of),0
261,1992,Andorra,0
262,1992,Argentina,0
263,1992,Australia,2
264,1992,Austria,13
265,1992,Azerbaijan,0
266,1992,Belarus,0
267,1992,Belgium,9
268,1992,Botswana,0
269,1992,Brazil,0
270,1992,Brunei Darussalam,0
271,1992,Bulgaria,5
272,1992,Cambodia,0
273,1992,Canada,4
274,1992,Chile,0
275,1992,China,2
276,1992,"China, Hong Kong Special Administrative Region",5
277,1992,"China, Macao Special Administrative Region",0
278,1992,Colombia,0
279,1992,Costa Rica,0
280,1992,Croatia,7
281,1992,Cyprus,0
282,1992,Czechia,5
283,1992,Denmark,0
284,1992,Ecuador,0
285,1992,El Salvador,0
286,1992,Estonia,0
287,1992,Finland,0
288,1992,France,41
289,1992,Georgia,0
290,1992,Germany,19
291,1992,Greece,0
292,1992,Guam,0
293,1992,Guatemala,0
294,1992,Honduras,0
295,1992,Hungary,2
296,1992,Iceland,0
297,1992,India,0
298,1992,Indonesia,0
299,1992,Iran (Islamic Republic of),0
300,1992,Iraq,0
301,1992,Ireland,0
302,1992,Israel,0
303,1992,Italy,13
304,1992,Japan,23
305,1992,Jordan,0
