,Country,Discipline,Athlete,Gender,Series,FinPosn
1026,TPE,Speed,Yeu-shiang CHANG,Male,WC Series Speed 2012 Senior Male,40
318,GEO,Speed,Zaza GURCHIANI,Male,WC Series Speed 2002 Senior Male,40
22,BEL,Speed,David LEDUC,Male,WC Series Speed 2008 Senior Male,40
8,AUT,Speed,Lukas KNAPP,Male,WC Series Speed 2016 Senior Male,40
35,BUL,Speed,Marian GEORGIEV,Male,WC Series Speed 1999 Senior Male,41
36,BUL,Speed,Mincho PETKOV,Male,WC Series Speed 2006 Senior Male,41
739,ROU,Speed,Dan alexandro BORCEA,Male,WC Series Speed 1993 Senior Male,41
243,ESP,Speed,Marco antonio JUBES ANGARITA,Male,WC Series Speed 2007 Senior Male,42
1020,THA,Speed,Thattana RAKSACHAT,Male,WC Series Speed 2014 Senior Male,42
9,AUT,Speed,Tobias PLANGGER,Male,WC Series Speed 2021 Senior Male,42
244,ESP,Speed,Javier CANO BLAZQUEZ,Male,WC Series Speed 2017 Senior Male,43
656,MAS,Speed,"Kien seong, francis LOW",Male,WC Series Speed 2002 Senior Male,43
657,MAS,Speed,Hafzanizam BOKHARI,Male,WC Series Speed 2006 Senior Male,43
23,BEL,Speed,Salah BOULBAHAIEM,Male,WC Series Speed 2010 Senior Male,44
27,BRA,Speed,Helmut BECKER,Male,WC Series Speed 1999 Senior Male,44
740,ROU,Speed,Daniel BELBEA,Male,WC Series Speed 1993 Senior Male,44
314,GBR,Speed,Christopher CUBITT,Male,WC Series Speed 1999 Senior Male,44
660,MGL,Speed,G. JANGAR,Male,WC Series Speed 2003 Senior Male,45
319,GEO,Speed,Giga JANKHOTELI,Male,WC Series Speed 2013 Senior Male,45
661,MGL,Speed,Tumur OCH,Male,WC Series Speed 2003 Senior Male,46
658,MAS,Speed,Mohd tarmizi JAAFAR,Male,WC Series Speed 2006 Senior Male,46
37,BUL,Speed,Kalin GARBOV,Male,WC Series Speed 1999 Senior Male,46
24,BEL,Speed,Jérôme DE BOECK,Male,WC Series Speed 2008 Senior Male,46
28,BRA,Speed,Edison kicho SHIMABUKURO JR.,Male,WC Series Speed 1999 Senior Male,47
741,ROU,Speed,Cristinel constantin PRODAN,Male,WC Series Speed 1993 Senior Male,47
1021,THA,Speed,Aphiwit LIMPANICHPAKDEE,Male,WC Series Speed 2024 Senior Male,47
1022,THA,Speed,Terdpol ARTAUI,Male,WC Series Speed 2014 Senior Male,47
315,GBR,Speed,Dave CUTHBERTSON,Male,WC Series Speed 1993 Senior Male,47
662,MGL,Speed,Batkhuu BATSUKH,Male,WC Series Speed 2003 Senior Male,47
38,BUL,Speed,Blagovest LAZAROV,Male,WC Series Speed 2005 Senior Male,48
320,GEO,Speed,Gogi CHARTOLANI,Male,WC Series Speed 2014 Senior Male,48
1015,SUI,Speed,Martin JAGGI,Male,WC Series Speed 2007 Senior Male,48
316,GBR,Speed,Maximillian MILNE,Male,WC Series Speed 2017 Senior Male,49
