,Country,CompType,WCupComp,Athletes
0,Japan,Boulder,WC Seoul 2022 Boulder Senior Male,"['Kokoro FUJII', 'Tomoa NARASAKI', 'Yoshiyuki OGATA']"
1,Russia,Boulder,WC Munich 2011 Boulder Senior Male,"['Rustam GELMANOV', 'Aleksei RUBTSOV', 'Dmitrii SHARAFUTDINOV']"
2,Japan,Boulder,WC Innsbruck 2021 Boulder Senior Male,"['Kokoro FUJII', 'Tomoa NARASAKI', 'Yoshiyuki OGATA']"
3,Japan,Boulder,WC Innsbruck 2024 Boulder Senior Male,"['Sohta AMAGASA', 'Meichi NARASAKI', 'Sorato ANRAKU']"
