,Athlete,Country,NumWCups
0,Valentina AGUADO (Current),Argentina,24
1,Zoe GARCIA MOLINA,Argentina,4
2,Rocio ailen BECERRA,Argentina,4
3,Oceania MACKENZIE (Current),Australia,27
4,Samantha BERRY,Australia,22
5,Claire KASSAY,Australia,12
15,Chloe CAULIER (Current),Belgium,60
16,Chloé GRAFTIAUX,Belgium,33
17,Kim ANTHONI,Belgium,15
18,Antonieta Esmeralda PARRA VEIZAGA (Current),Bolivia (Plurinational State of),1
19,Anja KÖHLER (Current),Brazil,5
20,Laura FARHAT DE ARAUJO FRAGA TIMO (Current),Brazil,5
21,Mariana HANGGI CORREIA (Current),Brazil,4
22,Aleksandra TOTKOVA (Current),Bulgaria,10
23,Ina DZHAMBAZOVA,Bulgaria,8
24,Petya GARBOVA,Bulgaria,5
26,Alannah YIP (Current),Canada,35
27,Elise SETHNA,Canada,16
28,Allison VEST,Canada,15
29,Alejandra CONTRERAS (Current),Chile,13
30,Muykuay SILVA (Current),Chile,7
31,Martina CASTRO (Current),Chile,6
32,Yuetong ZHANG (Current),China,25
33,Rong JIANG,China,22
34,Zhilu LUO (Current),China,15
35,Tseng-Shun WONG (Current),"China, Hong Kong Special Administrative Region",8
36,Wai-ping YU,"China, Hong Kong Special Administrative Region",6
37,Shun-yuk CHOI,"China, Hong Kong Special Administrative Region",3
38,Si Wan LEI (Current),"China, Macao Special Administrative Region",4
39,Ka Kei CHU (Current),"China, Macao Special Administrative Region",2
40,Pak Chi SOU (Current),"China, Macao Special Administrative Region",2
41,Sofia PARRADO (Current),Colombia,5
42,Saray GARCIA (Current),Colombia,2
43,Anja SANTINI MIKULIĆ (Current),Croatia,5
44,Sandra BAKULIC,Croatia,2
45,Tamara ZULIM,Croatia,2
52,Andrea ROJAS (Current),Ecuador,5
53,Carolina ROSERO,Ecuador,1
55,Anna KRAJUSHKINA,Estonia,2
56,Nika PROKOPJEVA (Current),Estonia,1
57,Valeria GRIŠINA (Current),Estonia,1
58,Laura LOIKAS (Current),Finland,13
59,Anna LAITINEN,Finland,7
60,Iris HEIKKINEN (Current),Finland,6
61,Fanny GIBERT (Current),France,57
62,Mélanie SANDOZ,France,50
63,Melissa LE NEVE,France,50
67,Monika RETSCHY,Germany,45
68,Afra HÖNIG (Current),Germany,44
69,Juliane WURM,Germany,44
70,Evdoxia-aikaterini KALLIA (Current),Greece,4
71,Danai VALSAMIDI (Current),Greece,3
72,Evdoxia - aikaterini KALLIA,Greece,2
73,Kylie BAKER (Current),Guam,1
77,Iris pamela DURON ANTONIO,Honduras,2
78,Astridt Alexandra VIDES ZERON (Current),Honduras,1
82,Svana BJARNASON (Current),Iceland,5
83,Lukka Mörk BLOMSTERBERG (Current),Iceland,4
84,Agnes Matthildur FOLKMANN (Current),Iceland,1
85,Prateeksha ARUN (Current),India,5
86,Siddhi shekhar MANERIKAR,India,2
87,Senjam debala DEVI,India,2
91,Elnaz REKABI (Current),Iran (Islamic Republic of),15
92,Nasim BIYARJOMANDY,Iran (Islamic Republic of),5
93,Athena BIGVAND,Iran (Islamic Republic of),3
94,Ayala KEREM (Current),Israel,21
95,Valeri KREMER (Current),Israel,20
96,Yael TAUB (Current),Israel,19
97,Jenny LAVARDA,Italy,43
98,Giorgia TESIO (Current),Italy,32
99,Camilla MORONI (Current),Italy,28
100,Akiyo NOGUCHI,Japan,86
101,Miho NONAKA (Current),Japan,60
102,Aya ONOE,Japan,36
103,Tamara KUZNETSOVA,Kazakhstan,7
104,Margarita AGAMBAYEVA (Current),Kazakhstan,3
105,Alexandra ZHIZNEVSKAYA,Kazakhstan,2
112,Sui Lin Renee TAN (Current),Malaysia,2
113,Shareen MOHD NASRAN (Current),Malaysia,2
114,Shin Yee CHEN (Current),Malaysia,1
117,Natalia De Jesús GONZÁLEZ (Current),Mexico,5
118,Sofia HEINZE CACHO,Mexico,4
119,Arantza FERNÁNDEZ GUTIERREZ (Current),Mexico,4
120,Panchamaya TAMANG,Nepal,2
121,Swastika CHAUDHARY (Current),Nepal,2
122,Vera ZIJLSTRA,Netherlands,77
123,Tiba VROOM,Netherlands,9
124,Amber SCHIFFELEERS (Current),Netherlands,8
125,Emma HAWKE,New Zealand,11
126,Sarah TETZLAFF (Current),New Zealand,4
127,Mayan SMITH-GOBAT,New Zealand,3
128,Hannah MIDTBOE,Norway,19
129,Ingrid KINDLIHAGEN (Current),Norway,18
130,Sunniva Eik HAAVE (Current),Norway,10
131,Sofia alejandra HERRERA VEGA CENTENO,Peru,2
132,Tamara Fatima ORTIZ RUIZ (Current),Peru,2
133,Melissa Esther CHEN CHEN (Current),Peru,2
144,Sol SA (Current),Republic of Korea,49
145,Ja In KIM (Current),Republic of Korea,36
146,Chaehyun SEO (Current),Republic of Korea,21
153,Tahani ALGOUHI (Current),Saudi Arabia,2
154,Stasa GEJO (Current),Serbia,33
155,Marija MILOSAVLJEVIC,Serbia,3
156,Vanessa Si Yinn TENG (Current),Singapore,9
157,Tan SHI HUI,Singapore,3
158,Natalie GOH SIHUI (Current),Singapore,3
159,Mária ČELKOVÁ,Slovakia,13
160,Martina BURŠÍKOVÁ (Current),Slovakia,9
161,Zuzana CINTALOVA,Slovakia,7
162,Mina MARKOVIC,Slovenia,38
163,Julija KRUDER (Current),Slovenia,34
164,Natalija GROS,Slovenia,29
165,Ariane JANATA-BURNS (Current),South Africa,5
166,Tegwen OATES (Current),South Africa,3
167,Erin STERKENBURG,South Africa,2
168,Leire AGUIRRE,Spain,20
169,Berta MARTIN SANCHO,Spain,11
170,Aida TORRES ILLAMOLA (Current),Spain,11
174,Petra KLINGLER (Current),Switzerland,66
175,Sofya YOKOYAMA (Current),Switzerland,37
176,Andrea KÜMIN (Current),Switzerland,28
177,Hung Ying LEE (Current),Taiwan,28
178,Ting-Chen YAO (Current),Taiwan,4
179,Yun-Shan HSIEH (Current),Taiwan,3
180,Puntarika TUNYAVANICH (Current),Thailand,7
181,Pankaew PLYPOOLSUP,Thailand,3
182,Watchareewan TOMAS,Thailand,3
193,Alex PUCCIO,United States of America,37
194,Kyra CONDIE (Current),United States of America,36
195,Sierra BLAIR-COYLE,United States of America,29
196,Lianet CASTILLO (Current),Venezuela (Bolivarian Republic of),3
197,Lucelia BLANCO,Venezuela (Bolivarian Republic of),2
