,Discipline,Country,Gold,Silver,Bronze,Total
1,Speed,RUS,23,27,25,75
2,Speed,POL,10,3,8,21
3,Speed,UKR,9,9,8,26
4,Speed,INA,4,4,4,12
5,Speed,FRA,4,3,1,8
6,Speed,USA,3,3,1,7
7,Speed,CHN,3,2,5,10
8,Speed,CZE,0,3,1,4
9,Speed,ITA,0,1,1,2
10,Speed,IRI,0,1,0,1
11,Speed,KAZ,0,0,1,1
12,Speed,KOR,0,0,1,1
13,Speed,JPN,0,0,1,1
