,Athlete,Country,NumWCups
155,Arman TER-MINASYAN,Russia,40
156,Markus HOPPE,Germany,39
157,Sam AVEZOU (Current),France,39
158,Kostiantyn PAVLENKO (Current),Ukraine,39
159,Jan KRIZ (Current),Czechia,39
160,Urh CEHOVIN,Slovenia,39
161,Martin JAGGI,Switzerland,39
162,Daniel ANDRADA JIMENEZ,Spain,39
163,Oscar BAUDRAND (Current),Canada,38
164,Alberto GINÉS LÓPEZ (Current),Spain,38
165,Nathaniel COLEMAN (Current),United States of America,38
166,Marco antonio JUBES ANGARITA,Spain,38
167,Eric LOPEZ MATEOS,Spain,38
168,Jedrzej KOMOSINSKI,Poland,38
169,David FIRNENBURG,Germany,38
170,Alexander PESHEKHONOV,Russia,38
171,Satone YOSHIDA (Current),Japan,37
172,Yuji FUJIWAKI (Current),Japan,37
173,Milan PRESKAR (Current),Slovenia,37
174,Mikel Asier LINACISORO MOLINA (Current),Spain,37
175,Kazuma WATANABE,Japan,37
176,Thomas JOANNES,France,37
177,Arnaud PETIT,France,37
178,Bernardino LAGNI,Italy,37
179,Colin DUFFY (Current),United States of America,36
180,Dohyun LEE (Current),Republic of Korea,36
181,Carlos GRANJA (Current),Ecuador,36
182,Haibin QU,China,36
183,Sergii TOPISHKO,Ukraine,36
184,Mauricio HUERTA,Mexico,36
185,Thomas BALLET,France,36
186,Jaha KIM,Republic of Korea,36
187,Andrzej MECHERZYNSKI-WIKTOR,Poland,35
188,Keita MOGAKI,Japan,35
189,Julien MERAL,France,35
190,Jure BECAN,Slovenia,35
191,Elie CHEVIEUX,Switzerland,35
192,Taisei HOMMA (Current),Japan,35
193,Ka-chun YAU (Current),"China, Hong Kong Special Administrative Region",35
194,Jan-Luca POSCH (Current),Austria,35
195,Nathan PHILLIPS,United Kingdom,35
196,Dmitrii TIMOFEEV,Russia,35
197,Stewart WATSON,United Kingdom,35
198,François AUCLAIR,France,35
199,Reinhard FICHTINGER,Austria,34
200,Stéphan JULIEN,France,34
201,Stefan SCARPERI,Italy,34
202,Jonatan FLOR VAZQUEZ,Spain,33
203,Ondrej SVUB,Slovakia,33
204,Maksym STYENKOVYY,Ukraine,33
205,Ram LEVIN (Current),Israel,33
206,Max KLEESATTEL (Current),Germany,33
207,Kevin HEINIGER,Switzerland,33
208,Tomas BINTER,Czechia,33
209,Jesse GRUPPER (Current),United States of America,32
210,Amir MAIMURATOV (Current),Kazakhstan,32
211,Gian luca ZODDA (Current),Italy,32
212,William RIDAL,United Kingdom,32
213,Martin TEKLES,Germany,32
214,Andre BOROWKA,Germany,32
215,Zida MA,China,32
216,Minoru NAKANO,Japan,32
217,Yuki HADA,Japan,32
218,Andrej CHRASTINA,Slovakia,32
219,Simon WANDELER,Switzerland,32
220,Mathias CONRAD,Germany,32
221,Jean-baptiste TRIBOUT,France,32
222,François LOMBARD,France,31
223,Felipe HO FOGANHOLO (Current),Brazil,31
224,Nino GRÜNENFELDER (Current),Switzerland,31
225,William BOSI,United Kingdom,31
226,Aleksandr SHILOV,Russia,31
227,Keita WATABE,Japan,31
228,Karsten BOROWKA,Germany,31
229,Victor BAUDRAND (Current),Canada,30
230,Lukas KNAPP (Current),Austria,30
231,Rishat KHAIBULLIN (Current),Kazakhstan,30
232,Keita DOHI,Japan,30
233,Vladislav DEULIN,Russia,30
234,Arsenii SHEVCHENKO,Russia,30
235,Cesar GROSSO,Brazil,30
236,Alfons DORNAUER,Austria,30
237,Patxi AROCENA,Spain,30
238,Elko SCHELLINGERHOUT,Netherlands,29
239,Chi-wai LAI,"China, Hong Kong Special Administrative Region",29
240,Mark CROXALL,United Kingdom,29
241,Stefano ALIPPI,Italy,29
242,Stefan FÜRST,Austria,29
243,Thilo jeldrik SCHRÖTER (Current),Norway,29
244,Stefan SCHERZ (Current),Austria,29
245,Zach GALLA (Current),United States of America,29
246,Daniel WINKLER,Switzerland,29
247,Hidekazu ITO,Japan,29
248,Benjamin HANNA (Current),United States of America,28
249,Nils FAVRE (Current),Switzerland,28
250,Aspar JAELOLO,Indonesia,28
251,Jonathan PARTRIDGE,United Kingdom,27
252,Frédéric COROLLER,France,27
253,Manuel ESCOBAR,Venezuela (Bolivarian Republic of),27
254,Paul JENFT (Current),France,27
255,Mejdi SCHALCK (Current),France,27
256,Nicolai UZNIK (Current),Austria,27
257,Gholamali BARATZADEH (Current),Iran (Islamic Republic of),27
258,Keiichiro KORENAGA,Japan,27
259,Paul DEWILDE,France,27
260,Peter BOSMA,Sweden,27
261,Iakov SOUBBOTINE,Russia,27
262,Maximillian MILNE (Current),United Kingdom,26
263,Nao MONCHOIS (Current),France,26
264,Hamish MCARTHUR (Current),United Kingdom,26
265,Nicolas BADIA,France,26
266,Benoit HEINTZ,France,26
267,Frederic SARKANY,Belgium,26
268,Blaz RANT,Slovenia,26
269,Sebastien LAZURE,Canada,26
270,Josh LEVIN,United States of America,25
271,Lukas KÖB,Austria,25
272,Nicolas JANUEL,France,25
273,Jason HOLOWACH,Canada,25
274,Ian VICKERS,United Kingdom,25
275,Ao YURIKUSA (Current),Japan,25
276,Sorato ANRAKU (Current),Japan,25
277,Noah BRATSCHI (Current),United States of America,25
278,Jihwan PARK,Republic of Korea,25
279,Aric MERZ,Germany,25
280,Andrew EARL,United Kingdom,25
281,Sergio PASTOR MARTÍNEZ,Spain,25
282,Alessandro SANTONI,Italy,25
283,Flavien GUERIMAND,France,25
284,César ciudad MANZANEDO,Spain,25
285,Andrey VEDENMEER,Ukraine,25
286,Marek HAVLIK,Czechia,25
287,Julien CLÉMENCE (Current),Switzerland,24
288,Leo AVEZOU (Current),France,24
289,Santiago DE ALBA FLORES (Current),Mexico,24
290,Mathias POSCH (Current),Austria,24
291,Artyom DEVYATERIKOV (Current),Kazakhstan,24
292,Sergei LUZHETSKII,Russia,24
293,Michele CAMINATI,Italy,24
294,Rudolph RUANA,United States of America,24
295,Radovah SOUCEK,Czechia,24
296,Shinta OZAWA,Japan,24
297,Pedro PONS,Spain,24
298,Fabien COMINA,France,23
299,Toby ROBERTS (Current),United Kingdom,23
300,Nikolay RUSEV (Current),Bulgaria,23
301,Sergey ABDRAKHMANOV,Russia,23
302,Ruben FIRNENBURG,Germany,23
303,Timo PREUSSLER,Germany,23
304,Franci JENSTERLE,Slovenia,23
305,Hannes VAN DUYSEN (Current),Belgium,22
306,Benjamin VARGAS (Current),Chile,22
307,Erik NOYA CARDONA (Current),Spain,22
308,Veddriq LEONARDO (Current),Indonesia,22
309,Ross FULKERSON (Current),United States of America,22
310,Zan LOVENJAK SUDAR (Current),Slovenia,22
311,Kim MARSCHNER,Germany,22
312,Vadim TIMONOV,Russia,22
313,Jakub KONECNY,Czechia,22
314,Seungwoon CHO,Republic of Korea,22
315,Stephane HANSSENS,Belgium,22
316,Bernhard RÖCK,Austria,22
317,Matthias SCHIESTL,Austria,22
318,Charli BLEIN,France,22
319,Olivier HEQUIN,France,22
320,Stephane DUGIT,France,22
321,Serguei NOURMAMATOV,Russia,22
322,David VILLIEN,France,22
323,Stefan BEDNAR,Slovakia,22
324,Ignacio SANCHEZ GONZÁLEZ,Spain,22
325,James KASSAY,Australia,22
326,Tyler LANDMAN,United Kingdom,22
327,Jure RAZTRESEN,Slovenia,22
328,Iouri DOULOUB,Russia,22
329,Edward FEEHALLY,United Kingdom,22
330,Valeriy KRYUKOV,Ukraine,22
331,Stefano GHIDINI,Italy,22
332,Urs SCHÖNENBERGER,Switzerland,22
333,Mauro CALIBANI,Italy,22
334,Jiacuo SUOLANG,China,21
335,Elias WEILER,Austria,21
336,Vili GUCEK,Slovenia,21
337,Kairat RAKHMETOV,Kazakhstan,21
338,Pavel SAMOILINE,Russia,21
339,Bjørn ARNEL IISAGER,Denmark,21
340,Jean paul FINNE,Belgium,21
341,Alexander KOSTERIN,Russia,21
342,Guy MCNAMEE (Current),Canada,21
343,Simon POTUCEK (Current),Czechia,21
344,Florian KLINGLER,Austria,21
345,Ben ABEL,Australia,21
346,Nikolai IARILOVETS,Russia,21
347,Victor ESTELLER OCAÑA,Spain,21
348,Mark AMANN,Austria,21
349,Martin FELIX,Switzerland,21
350,Serguei CHEMOULINKINE,Russia,21
351,Rodrigo IASI HANADA (Current),Brazil,20
352,Jonas UTELLI (Current),Switzerland,20
353,Pierre REBREYEND (Current),France,20
354,Edvards GRUZITIS (Current),Latvia,20
355,Anthony GULLSTEN,Finland,20
356,Lucas UCHIDA,Canada,20
357,Tim REUSER,Netherlands,20
358,Qinghua WANG,China,20
359,Thorsten NEUHAUS,Germany,20
360,Kai LIGHTNER,United States of America,20
361,Or WECHSLER,Israel,20
362,Tomas RAVANAL,Chile,20
363,Sébastien BERTHE,Belgium,20
364,Matthias ERBER,Austria,20
365,Ferdinand SCHULTE,Netherlands,20
366,Mikhail GOGOL,Russia,20
367,Sergio VERDASCO URIZAL,Spain,20
368,Klaus BÜCHELE,Germany,20
369,Marek REPCIK,Slovakia,20
370,Mykhayil TKACHUK,Ukraine,20
371,Christopher CUBITT,United Kingdom,20
372,Maksym OSIPOV,Ukraine,20
373,Pavel KORAN,Czechia,19
374,Franz KRAKENBERGER,Switzerland,19
375,Francois KAISER,France,19
376,Christopher WEBB-PARSONS,Australia,19
377,Alfian MUHAMMAD,Indonesia,19
378,Evgenii ZAZULIN,Russia,19
379,François COFFY,France,19
380,Magnus HÖGSTRÖM,Sweden,19
381,Juraj REPCIK,Slovakia,19
382,Luke GOH WEN BIN (Current),Singapore,19
383,Elias ARRIAGADA KRÜGER (Current),Germany,19
384,Linus BADER (Current),Germany,19
385,Samuel WATSON (Current),United States of America,19
386,Arsène DUVAL (Current),France,19
387,Mark BRAND (Current),Netherlands,19
388,Joe GOODACRE,United States of America,19
389,Alberto GOTTA,Italy,19
390,Taisei ISHIMATSU,Japan,19
391,Arsenii BOGOMOLOV,Russia,19
392,Christian BENK,Germany,19
393,Adrien LEMAIRE (Current),France,18
394,Shuto FUJINO (Current),Japan,18
395,Stepan STRANIK (Current),Czechia,18
396,Sebastien JALMAIN,France,18
397,Nathan SMITH,Canada,18
398,Milen VIDENOVSKI,Bulgaria,18
399,Luka ZAZVONIL,Slovenia,18
400,Maciej DOBRZANSKI,Poland,18
401,Riccardo PIAZZA,Italy,18
402,Moritz HANS,Germany,18
403,Alexander AVERDUNK,Germany,18
404,Rolf fredrik SERLACHIUS,Sweden,18
405,Roland WAGNER,Austria,18
406,Heiko WILHELM,Austria,18
407,Pablo BARBERO ALFONSO,Spain,18
408,Yury NOVITSKIY,Russia,18
409,Doug ENGLEKIRK,United States of America,18
410,Matej MEJOVSEK,Slovenia,18
411,Christoph BUCHER,Germany,18
412,Txema GOMEZ,Spain,18
413,Severino SCASSA,Italy,18
414,Frédéric TUSCAN,France,18
415,Yaroslav GONTARYK,Ukraine,18
416,Alexei TCHERTOV,Russia,18
417,Marat SADYROV,Russia,18
418,Leonel DE LAS SALAS,Venezuela (Bolivarian Republic of),18
419,Christoph FINKEL,Germany,18
420,Vladimir ZAKHAROV,Ukraine,17
421,Makoto YAMAUCHI,Japan,17
422,Atsushi SHIMIZU,Japan,17
423,Vincent ALBRAND,France,17
424,Frédéric NICOLE,Switzerland,17
425,Simon UNGER,Germany,17
426,Bastien GERLAND,France,17
427,Timmy FAIRFIELD,Canada,17
428,Milan BENIAN,Czechia,17
429,Cheuk-hei HO (Current),"China, Hong Kong Special Administrative Region",17
430,Giorgio TOMATIS (Current),Italy,17
431,Sebastian LUCKE (Current),Germany,17
432,Ryo OMASA (Current),Japan,17
433,Zach HAMMER (Current),United States of America,17
434,Kiromal KATIBIN (Current),Indonesia,17
435,Yaroslav TKACH (Current),Ukraine,17
436,Yongjun JUNG (Current),Republic of Korea,17
437,Shuta TANAKA (Current),Japan,17
438,Slav KIROV (Current),Bulgaria,17
439,Nathan MARTIN (Current),Luxembourg,17
440,Nathan MARTIN (Current),France,17
441,Isaac ESTEVEZ (Current),Ecuador,17
442,Kipras BALTRUNAS,Lithuania,17
443,Dmitrii FAKIRIANOV,Russia,17
444,Jakub JODLOWSKI,Poland,17
445,Emanuel MOOSBURGER,Austria,17
446,Nicolas FARCY,Belgium,17
447,Hei-yeung LAM,"China, Hong Kong Special Administrative Region",17
448,Naoki SHIMATANI,Japan,17
449,Penghui LIN,China,17
450,Martin JECH,Czechia,17
451,Emmanuel LOPEZ,France,17
452,Kalin GARBOV,Bulgaria,17
453,Neil CARSON,United Kingdom,17
454,Marcin WROBEL,Poland,17
455,Jianguo LONG (Current),China,16
456,Long CAO (Current),China,16
457,Jinbao LONG (Current),China,16
458,Liang ZHANG (Current),China,16
459,Hugo PARMENTIER (Current),France,16
460,Mateus RODRIGUES BELLOTTO (Current),Brazil,16
461,Christopher COSSER (Current),South Africa,16
462,Michael FINN-HENRY (Current),Canada,16
463,Michael FINN-HENRY (Current),United States of America,16
464,Fredrik SERLACHIUS (Current),Sweden,16
465,Ivan SHYSHKOVSKYY,Ukraine,16
466,Sergei SKORODUMOV,Russia,16
467,Remi SAMYN,France,16
468,Kevin HUSER,Switzerland,16
469,Romain PAGNOUX,France,16
470,Ivaylo KRASTEV,Bulgaria,16
471,Donato LELLA,Italy,16
472,Luc DAURES,France,16
473,Thomas ACHERMANN,Switzerland,16
474,Naoto HAKAMADA,Japan,16
475,Joackym RAMSAMY,France,16
476,Daniel WOODS,United States of America,16
477,Josh LARSON,United States of America,16
478,Alexandre CHAOULSKY,Russia,16
479,Mathieu GALLOT-LAVALLEE,France,16
480,Salah BOULBAHAIEM,Belgium,16
481,Takaaki TSUIKI,Japan,16
482,Rok KLANCNIK,Slovenia,15
483,Piotr BUNSCH,Poland,15
484,Matej SVUB,Slovakia,15
485,Eric SETHNA,Canada,15
486,Sergei SHAFEROV,Belarus,15
487,Jakub GLOWKA,Poland,15
488,Florian HAGE,Germany,15
489,Fabien MAZUER,France,15
490,Tony RYAN,United Kingdom,15
491,Anton PACEK,Slovakia,15
492,Danny VALENCIA,Ecuador,15
493,Yoann LE COUSTER,France,15
494,Vincent DE GIROLAMO,France,15
495,Michel SIROTTI,Italy,15
496,Shinichiro NOMURA,Japan,15
497,Christoph SCHWEIGER,Germany,15
498,Sohta AMAGASA (Current),Japan,15
499,Shion OMATA (Current),Japan,15
500,Alfian MUHAMMAD FAJRI (Current),Indonesia,15
501,Ethan PITCHER (Current),Canada,15
502,Hossein FAMILROHANI (Current),Iran (Islamic Republic of),15
503,Geva LEVIN (Current),Israel,15
504,Michael O'NEILL (Current),Ireland,15
505,Sungjoon CHAE (Current),Republic of Korea,15
506,Tobias PLANGGER (Current),Austria,15
507,Benjamin AYALA (Current),Chile,15
508,Theis lindegren ELFENBEIN (Current),Denmark,15
509,Fatchur ROJI,Indonesia,15
510,Vladislav SHEVCHENKO,Russia,15
511,Baptiste OMETZ,Switzerland,15
512,Rafal HALASA,Poland,15
513,Quentin NAMBOT,France,15
514,Zhiyong OU,China,15
515,Yannick LEGRAND,France,15
516,Dylan PARKS (Current),Australia,14
517,Joaquin URRUTIA (Current),Chile,14
518,Giovanni PLACCI (Current),Italy,14
519,Hiroto SHIMIZU (Current),Japan,14
520,Jun YASUKAWA (Current),Japan,14
521,Alisher MURAT (Current),Kazakhstan,14
522,Matteo ZURLONI (Current),Italy,14
523,Yongsu LEE (Current),Republic of Korea,14
524,Ardch INTRACHUPONGSE (Current),Thailand,14
525,Zach RICHARDSON (Current),Canada,14
526,Sungbo SEO (Current),Republic of Korea,14
527,Jinbin HUANG (Current),China,14
528,Leto CAVÉ,Netherlands,14
529,Ning ZHANG,China,14
530,Stefano CARNATI,Italy,14
531,André BEREZOSKI,Brazil,14
532,Fabrizio DROETTO,Italy,14
533,Arnaud CEINTRE,France,14
534,Vladislav BARANOV,Russia,14
535,Nalle HUKKATAIVAL,Finland,14
536,Hongil KIM,Republic of Korea,14
537,Jae-yong LEE,Republic of Korea,14
538,Masatoshi SUGITA,Japan,14
539,Yohann DARD,France,14
540,Remy BERGASSE,France,14
541,Guido KÖSTERMEYER,Germany,14
542,Alexei GADEEV,Russia,14
543,Viacheslav VEDENCHUK,Russia,14
544,Gyula JUHASZ,Hungary,14
545,Filip BABICZ,Italy,14
546,Filip BABICZ,Poland,14
547,Ionel ENE,Romania,14
548,Ka-wai CHU,"China, Hong Kong Special Administrative Region",14
549,Felipe CAMARGO,Brazil,14
550,Rongwu CAO,China,13
551,Markus JUNG,Germany,13
552,Yannick NAGEL (Current),Germany,13
553,Yongchen CHEN (Current),China,13
554,Diego LEQUERICA BUSCAGLIA (Current),Peru,13
555,Cheuk-Nam WONG (Current),"China, Hong Kong Special Administrative Region",13
556,Aspar ASPAR (Current),Indonesia,13
557,Leander CARMANNS (Current),Germany,13
558,Euncheol SHIN (Current),Republic of Korea,13
559,Alessandro BOULOS (Current),Italy,13
560,Hugo HOYER (Current),United States of America,13
561,Joshua BRUYNS (Current),South Africa,13
562,Nimród Sebestyén TUSNÁDY  (Current),Hungary,13
563,Axel LINDFORS (Current),Finland,13
564,Jakub ZIETEK (Current),Poland,13
565,Louis GUNDOLF (Current),Austria,13
566,Hritik MARNE (Current),India,13
567,Alex WATERHOUSE,United Kingdom,13
568,Xiangyang YE,China,13
569,Aleksei PORTSEV,Russia,13
570,Yiftach KUSHNIR,Israel,13
571,Maël BONZOM,France,13
572,Obed HARDMEIER,Switzerland,13
573,Gabor SZEKELY,Hungary,13
574,Andreas PFANNER,Austria,13
575,Anthony SAPEY,Switzerland,13
576,Lukasz MÜLLER,Poland,13
577,Tatsumi NITTA,Japan,13
578,Zufar NIGMANOV,Russia,13
579,Vasily KOZLOV,Russia,13
580,Hiroshi OKANO,Japan,13
581,Anton JOHANSONN,Finland,13
582,Dan ARCHAMBAULT,Canada,13
583,Dichong HUANG,China,13
584,Thomas FARRELL,Australia,13
585,Austin GEIMAN,United States of America,13
586,Adrian BAXTER,United Kingdom,13
587,Martin MOBRÅTEN,Norway,13
588,Cody ROTH,United States of America,13
589,Vilimantas PETRASIUNAS,Lithuania,13
590,Jakub HLAVACEK,Czechia,13
591,Faycal NATECH,France,13
592,David GISLER,Switzerland,13
593,Erik CARLSSON,Sweden,13
594,Jean luc DANIS,France,13
595,Roman FELIX,Switzerland,13
596,Malcolm SMITH,United Kingdom,13
597,Alexei ZEMSKI,Russia,13
598,Bruno MACIAS MATUTANO,Spain,13
599,Yves PHILIPONA,Switzerland,13
600,Sylvain CHAPELLE,France,13
601,Vladimir NETSVETAEV-DOLGALEV,Russia,12
602,Alexey MOLCHANOV,Kazakhstan,12
603,Lincai ZHONG,China,12
604,Ondrej NEVELIK,Czechia,12
605,Andre DIFELICE,Canada,12
606,Nicola SARTORI,Italy,12
607,Johan MUS,Belgium,12
608,Didier RABOUTOU,France,12
609,Stefan GLOWACZ,Germany,12
610,Jacky GODOFFE,France,12
611,Dmytro KONOVALOV,Ukraine,12
612,Anton MARDASHOV,Ukraine,12
613,Nestor CARVAJAL,Venezuela (Bolivarian Republic of),12
614,Pascal GISLER,Switzerland,12
615,Aleksei SHCHERVIANIN,Russia,12
616,Diego martín MARSELLA,Argentina,12
617,Stanislav KLESHNOV,Ukraine,12
618,Raviandi RAMADHAN (Current),Indonesia,12
619,Ties VANCRAEYNEST (Current),Belgium,12
620,Yunchan SONG (Current),Republic of Korea,12
621,Jules MARCHALAND (Current),France,12
622,Minsu KANG (Current),Republic of Korea,12
623,Tomas PLEVKO (Current),Slovakia,12
624,Hidemasa NISHIDA,Japan,12
625,Ronny ESCOBAR,Chile,12
626,Nickolaie RIVADENEIRA,Ecuador,12
627,Aurélien CULVER,France,12
628,Alexander MEIKL,Austria,12
629,Ravianto RAMADHAN (Current),Indonesia,11
630,Kevin AMON (Current),Austria,11
631,Peng WU (Current),China,11
632,Rahmad ADI MULYONO (Current),Indonesia,11
633,Alexey PANFILOV (Current),Kazakhstan,11
634,Peter KURIC (Current),Slovakia,11
635,Matic KOTAR (Current),Slovenia,11
636,Christian WAGNER (Current),Chile,11
637,Yudai IKEDA (Current),Japan,11
638,Zainal ARIPIN (Current),Indonesia,11
639,André NERES (Current),Portugal,11
640,Quinn O'FRANCIA (Current),United States of America,11
641,Wan tong LOK (Current),"China, Macao Special Administrative Region",11
642,Dylan CHUAT,Switzerland,11
643,Or MINIELY,Israel,11
644,Matthew COUSINS,United Kingdom,11
645,John BOWLES,Canada,11
646,Michal LEWICKI,Poland,11
647,Stanislao ZAMA,Italy,11
648,Georgy ARTAMONOV,Russia,11
649,Martin KUHNEL,United States of America,11
650,Rafet serkan ERCAN,Turkey,11
651,Thomas SCHMID,Switzerland,11
652,Jinxin LI,China,11
653,Masaki SHIBATA,Japan,11
654,Yulianto ABUDZAR,Indonesia,11
655,Marc EDWARDS,Australia,11
656,Daniel ANDERSSON,Sweden,11
657,Hans BUSKER,Netherlands,11
658,Christian FEISTMANTL,Austria,11
659,Carlo TRAVERSI,United States of America,11
660,Ryuichi MURAI,Japan,11
661,Max PRINZ,Germany,11
662,Nicola DE MATTIA,Italy,11
663,Lukas GEUKENS,Belgium,11
664,Matthias SCHMIDL,Italy,11
665,Baptiste NOMINE,France,11
666,Daisuke KONISHI,Japan,11
667,Scott FRANKLIN,United States of America,11
668,Ben MOON,United Kingdom,11
669,Kristoffer LINDBÄCK,Sweden,11
670,Orrin COLEY,United Kingdom,11
671,Jim KARN,United States of America,11
672,Damien JEANDENAND,France,11
673,Davide ZAVAGNIN,Italy,11
