,Country,Discipline,Gold,Silver,Bronze,Total
1,China,Speed-Relay,4,0,2,6
2,United States of America,Speed-Relay,2,2,0,4
3,Indonesia,Speed-Relay,0,2,2,4
4,Poland,Speed-Relay,0,2,0,2
5,Ukraine,Speed-Relay,0,0,2,2
