,Country,Gold,Silver,Bronze,Total
1,FRA,37,29,35,101
2,RUS,26,38,31,95
3,AUT,19,14,10,43
4,JPN,17,18,21,56
5,SLO,13,11,10,34
6,USA,12,4,13,29
7,UKR,10,11,10,31
8,POL,10,3,8,21
9,KOR,6,7,3,16
10,CZE,5,6,8,19
11,BEL,5,4,3,12
12,GBR,5,2,2,9
13,ITA,4,7,7,18
14,ESP,4,6,3,13
15,INA,3,4,3,10
16,CHN,3,1,5,9
17,GER,1,2,1,4
18,NED,1,1,0,2
19,SUI,0,2,2,4
20,CAN,0,1,2,3
21,IRI,0,1,0,1
22,AUS,0,1,0,1
23,KAZ,0,0,1,1
