,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Janja GARNBRET (SLO),1,0,0,1
2,Jessica PILZ (AUT),0,1,0,1
3,Ai MORI (JPN),0,0,1,1
