,Country,Discipline,NumAthleteswithWChampWins,NumAthleteswithWChampPodiums
1,Russia,Speed,8,24
2,Ukraine,Speed,6,8
3,China,Speed,3,10
4,Poland,Speed,3,8
5,Italy,Speed,2,2
6,United States of America,Speed,1,4
7,Belgium,Speed,1,1
8,France,Speed,1,6
9,Spain,Speed,1,2
10,Iran (Islamic Republic of),Speed,1,1
11,Indonesia,Speed,1,2
12,Czechia,Speed,0,3
13,Kazakhstan,Speed,0,2
14,Venezuela (Bolivarian Republic of),Speed,0,1
15,Germany,Speed,0,1
