,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Jakob SCHUBERT (AUT),1,0,0,1
2,Colin DUFFY (USA),0,1,0,1
3,Tomoa NARASAKI (JPN),0,0,1,1
