,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Sean MCCOLL (CAN),3,0,0,3
2,Jakob SCHUBERT (AUT),1,1,0,2
3,Yannick FLOHÉ (GER),1,0,0,1
4,Tomoa NARASAKI (JPN),1,0,0,1
5,Jan HOJER (GER),0,1,1,2
6,Philipp MARTIN (GER),0,1,0,1
7,Thomas TAUPORN (GER),0,1,0,1
8,Manuel CORNU (FRA),0,1,0,1
9,Adam ONDRA (CZE),0,1,0,1
10,Fedir SAMOILOV (UKR),0,0,1,1
11,Cédric LACHAT (SUI),0,0,1,1
12,David FIRNENBURG (GER),0,0,1,1
13,Rishat KHAIBULLIN (KAZ),0,0,1,1
14,Alban LEVIER (FRA),0,0,1,1
