,Country,Discipline,NumAthleteswithWChampWins,NumAthleteswithWChampPodiums
1,Austria,Combined,2,2
2,Germany,Combined,1,5
3,Republic of Korea,Combined,1,2
4,Canada,Combined,1,1
5,Russia,Combined,1,1
6,Slovenia,Combined,1,3
7,Japan,Combined,1,2
8,France,Combined,1,4
9,Switzerland,Combined,0,2
10,Iran (Islamic Republic of),Combined,0,1
11,Ukraine,Combined,0,1
12,United States of America,Combined,0,1
13,Czechia,Combined,0,1
14,United Kingdom,Combined,0,1
15,Kazakhstan,Combined,0,1
