,Discipline,Gender,Winner,Podium,Finalist,Attendee
0,Boulder,Female,Anna STÖHR (AUT) WChamp 2007 Age: 19y 4m,Akiyo NOGUCHI (JPN) WChamp 2007 Age: 18y 3m,Yana CHERESHNEVA (RUS) WChamp 2005 Age: 16y 4m,Mariam KURDIANI (GEO) WChamp 2011 Age: 13y 11m
1,Boulder,Male,Kai HARADA (JPN) WChamp 2018 Age: 19y 5m,Martin STRANIK (CZE) WChamp 2007 Age: 17y 6m,Sorato ANRAKU (JPN) Wchamp 2023 Age: 16y 8m,Matej MARKOV (MKD) Wchamp 2023 Age: 15y 7m
2,Lead,Female,Johanna ERNST (AUT) WChamp 2009 Age: 16y 7m,Ai MORI (JPN) WChamp 2019 Age: 15y 10m,Chaehyun SEO (KOR) WChamp 2019 Age: 15y 9m,Andrea ROJAS (ECU) WChamp 2011 Age: 15y 8m
3,Lead,Male,Gérome POUVREAU (FRA) WChamp 2001 Age: 17y 10m,Chris SHARMA (USA) WChamp 1997 Age: 15y 9m,Yunchan SONG (KOR) Wchamp 2023 Age: 16y 0m,Matej MARKOV (MKD) Wchamp 2023 Age: 15y 7m
4,Speed,Female,Olga BIBIK (RUS) WChamp 1993 Age: 16y 7m,Olga BIBIK (RUS) WChamp 1993 Age: 16y 7m,Beatrice COLLI (ITA) Wchamp 2021 Age: 16y 11m,Mariam KURDIANI (GEO) WChamp 2011 Age: 13y 11m
5,Speed,Male,Qixin ZHONG (CHN) WChamp 2007 Age: 18y 5m,Qixin ZHONG (CHN) WChamp 2007 Age: 18y 5m,Zach HAMMER (USA) Wchamp 2023 Age: 17y 2m,Kalin GARBOV (BUL) WChamp 1993 Age: 15y 9m
