,Country,Discipline,NumAthleteswithWChampWins,NumAthleteswithWChampPodiums
1,Slovenia,Boulder-Lead,1,1
2,Austria,Boulder-Lead,1,2
3,Japan,Boulder-Lead,0,2
4,United States of America,Boulder-Lead,0,1
