,Athlete,Country,Gender,Discipline,First,Second,Third
104,Aleksei RUBTSOV,RUS,Male,Boulder,3,1,10
105,Svitlana TUZHYLINA,UKR,Female,Speed,3,1,2
106,Pedro PONS,ESP,Male,Boulder,3,1,1
107,Aleksandr SHIKOV,RUS,Male,Speed,3,1,0
108,Sergey ABDRAKHMANOV,RUS,Male,Speed,3,0,3
109,Toby ROBERTS,GBR,Male,Lead,3,0,3
110,David LAMA,AUT,Male,Boulder,3,0,2
111,Jianguo LONG,CHN,Male,Speed,3,0,1
112,Yulia ABRAMCHUK,RUS,Female,Boulder,2,6,7
113,Sean MCCOLL,CAN,Male,Boulder,2,6,6
114,Kseniia ALEKSEEVA,RUS,Female,Speed,2,5,3
115,Alex PUCCIO,USA,Female,Boulder,2,4,8
116,Magdalena RÖCK,AUT,Female,Lead,2,4,3
117,Cédric LACHAT,SUI,Male,Lead,2,3,10
118,Olga SHALAGINA,UKR,Female,Boulder,2,3,3
119,Natalija GROS,SLO,Female,Boulder,2,3,2
120,Jernej KRUDER,SLO,Male,Boulder,2,3,1
121,Laura ROGORA,ITA,Female,Lead,2,3,0
122,Momoka ODA,JPN,Female,Lead,2,2,7
123,Juliane WURM,GER,Female,Boulder,2,2,6
124,Myriam MOTTEAU,FRA,Female,Boulder,2,2,3
125,Vladimir NETSVETAEV-DOLGALEV,RUS,Male,Speed,2,2,2
126,Chloé GRAFTIAUX,BEL,Female,Boulder,2,2,2
127,Jesse GRUPPER,USA,Male,Lead,2,2,1
128,Peng WU,CHN,Male,Speed,2,2,0
129,Alex JOHNSON,USA,Female,Boulder,2,2,0
130,Zosia PODGORBOUNSKIKH,RUS,Female,Speed,2,1,4
131,Ludovico FOSSALI,ITA,Male,Speed,2,1,3
132,Rei SUGIMOTO,JPN,Male,Boulder,2,1,2
133,Tomasz OLEKSY,POL,Male,Boulder,2,1,2
134,Manuel ESCOBAR,VEN,Male,Speed,2,1,2
135,Sascha LEHMANN,SUI,Male,Lead,2,1,1
136,Iakov SOUBBOTINE,RUS,Male,Speed,2,1,1
137,Mina MARKOVIC,SLO,Female,Boulder,2,1,0
138,Gautier SUPPER,FRA,Male,Lead,2,0,4
139,Megan MASCARENAS,USA,Female,Boulder,2,0,2
140,Jacky GODOFFE,FRA,Male,Lead,2,0,2
141,Colin DUFFY,USA,Male,Lead,2,0,2
142,Shaoqin ZHANG,CHN,Female,Speed,2,0,1
143,Annie SANDERS,USA,Female,Boulder,2,0,1
144,Sean BAILEY,USA,Male,Lead,2,0,1
145,Stephane JULIEN,FRA,Male,Boulder,2,0,1
146,Gérome POUVREAU,FRA,Male,Boulder,2,0,0
147,Erin MCNEICE,GBR,Female,Lead,2,0,0
148,Andrey VEDENMEER,UKR,Male,Speed,2,0,0
149,Alfian MUHAMMAD,INA,Male,Speed,2,0,0
150,Caroline CIAVALDINI,FRA,Female,Lead,1,10,2
151,Oriane BERTONE,FRA,Female,Boulder,1,8,0
152,Natalija GROS,SLO,Female,Lead,1,7,8
153,Natalia KALUCKA,POL,Female,Speed,1,6,1
154,Alexander MEGOS,GER,Male,Lead,1,5,4
155,Taisei HOMMA,JPN,Male,Lead,1,5,1
156,Emma HUNT,USA,Female,Speed,1,4,1
157,Aspar JAELOLO,INA,Male,Speed,1,4,1
