,Athlete,Country,Gender,Discipline,First,Second,Third
457,Tatiana SHEMULINKINA,RUS,Female,Boulder,0,0,1
458,Nalle HUKKATAIVAL,FIN,Male,Boulder,0,0,1
459,Hiroshi OKANO,JPN,Male,Boulder,0,0,1
460,Anna GALLYAMOVA,RUS,Female,Boulder,0,0,1
461,Francois KAISER,FRA,Male,Boulder,0,0,1
462,Lukas ENNEMOSER,AUT,Male,Boulder,0,0,1
463,Jeremy BONDER,FRA,Male,Boulder,0,0,1
464,Paul ROBINSON,USA,Male,Boulder,0,0,1
465,Keita MOGAKI,JPN,Male,Boulder,0,0,1
466,Julien MERAL,FRA,Male,Boulder,0,0,1
467,Puji LESTARI,INA,Female,Speed,0,0,1
468,Sufriyanto RINDI,INA,Male,Speed,0,0,1
469,Angela EITER,AUT,Female,Boulder,0,0,1
470,Anon MATSUFUJI,JPN,Female,Boulder,0,0,1
471,Sam AVEZOU,FRA,Male,Boulder,0,0,1
472,Paul JENFT,FRA,Male,Boulder,0,0,1
473,Mia KRAMPL,SLO,Female,Lead,0,0,1
474,Mattea PÖTZI,AUT,Female,Lead,0,0,1
475,Yannick FLOHÉ,GER,Male,Lead,0,0,1
476,Adi Asih KADEK,INA,Female,Speed,0,0,1
477,Kevin AMON,AUT,Male,Speed,0,0,1
478,Oceania MACKENZIE,AUS,Female,Boulder,0,0,1
479,Shengyan WANG,CHN,Female,Speed,0,0,1
480,Nurul IQAMAH,INA,Female,Speed,0,0,1
481,Long CAO,CHN,Male,Speed,0,0,1
482,Manon HILY,FRA,Female,Lead,0,0,1
483,Fanny GIBERT,FRA,Female,Lead,0,0,1
484,Molly THOMPSON-SMITH,GBR,Female,Lead,0,0,1
485,Shuta TANAKA,JPN,Male,Lead,0,0,1
486,Aleksandra TOTKOVA,BUL,Female,Lead,0,0,1
487,Julia CHANOURDIE,FRA,Female,Lead,0,0,1
488,Flavy COHAUT,FRA,Female,Boulder,0,0,1
489,Jessica PILZ,AUT,Female,Boulder,0,0,1
490,Andrea KÜMIN,SUI,Female,Boulder,0,0,1
491,Ai MORI,JPN,Female,Boulder,0,0,1
492,Mia KRAMPL,SLO,Female,Boulder,0,0,1
493,Lucka RAKOVEC,SLO,Female,Lead,0,0,1
494,Hanwool KIM,KOR,Male,Lead,0,0,1
495,Jan KRIZ,CZE,Male,Speed,0,0,1
496,Tomoaki TAKATA,JPN,Male,Boulder,0,0,1
497,Fedir SAMOILOV,UKR,Male,Lead,0,0,1
498,Rei KAWAMATA,JPN,Male,Boulder,0,0,1
499,Taisei ISHIMATSU,JPN,Male,Boulder,0,0,1
500,Dinara FAKHRITDINOVA,RUS,Female,Lead,0,0,1
501,Hannah SCHUBERT,AUT,Female,Lead,0,0,1
502,Ekaterina KIPRIIANOVA,RUS,Female,Boulder,0,0,1
503,Miho NONAKA,JPN,Female,Speed,0,0,1
504,Thomas TAUPORN,GER,Male,Lead,0,0,1
505,Xuhua PAN,CHN,Female,Speed,0,0,1
506,Barbara BACHER,AUT,Female,Lead,0,0,1
507,Alizée DUFRAISSE,FRA,Female,Lead,0,0,1
508,Gareth PARRY,GBR,Male,Boulder,0,0,1
509,Angelica LIND,SWE,Female,Boulder,0,0,1
510,Anja HODANN,SWE,Female,Boulder,0,0,1
511,Thomas JOANNES,FRA,Male,Lead,0,0,1
512,Kseniya POLEKHINA,RUS,Female,Speed,0,0,1
513,Valeriy VOROBYEV,RUS,Male,Speed,0,0,1
514,Victor KOZLOV,RUS,Male,Boulder,0,0,1
515,Isabelle BIHR,FRA,Female,Boulder,0,0,1
516,Claire BELL,GBR,Female,Boulder,0,0,1
517,Guangpu LI,CHN,Male,Speed,0,0,1
518,Stanislav KLESHNOV,UKR,Male,Boulder,0,0,1
519,Galina TERENTEVA,RUS,Female,Speed,0,0,1
520,Jennifer COLE,USA,Female,Lead,0,0,1
521,Venera CHERESHNEVA,RUS,Female,Speed,0,0,1
522,Ben MOON,GBR,Male,Speed,0,0,1
