Squad,Nation,Time,When,Type,Athletes,Where
RSA 1,RSA,13.88,2026-06-11,male,"[['Joshua', 'BRUYNS'], ['John-David', 'MULLER']]",The World Games Chengdu 2025
RSA 1,RSA,23.04,2026-06-12,female,"[['Aniya', 'HOLDER'], ['Tegwen', 'OATES']]",The World Games Chengdu 2025
RSA 1,RSA,15.54,2026-09-19,mixed,"[['Aniya', 'HOLDER'], ['John-David', 'MULLER']]",World Climbing Series Chongqing 2026
