,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
73,Maksym PETRENKO (UKR),0,1,0,0,1,1,0,1,3,4,40,0,10
74,Serik KAZBEKOV (UKR),0,1,0,0,0,0,0,1,2,3,32,0,9
75,Fabien MAZUER (FRA),0,1,0,0,0,0,0,1,1,2,14,0,14
76,Kai HARADA (JPN),0,1,0,0,0,0,0,1,0,1,14,0,7
77,David CAUDE (FRA),0,1,0,0,1,1,0,0,3,3,57,0,5
78,Simon WANDELER (SUI),0,1,0,0,0,0,0,0,1,1,31,0,3
79,Paul DEWILDE (FRA),0,1,0,0,0,0,0,0,1,1,27,0,3
80,Yannick FLOHÉ (GER),0,1,0,0,0,0,0,0,1,1,34,0,2
81,Carlos BRASCO (ESP),0,1,0,0,0,0,0,0,0,0,0,0,0
82,Stefan GLOWACZ (GER),0,0,0,1,0,1,0,1,0,1,12,0,8
83,Christian BINDHAMMER (GER),0,0,0,0,0,0,0,3,0,3,68,0,4
84,Tomoa NARASAKI (JPN),0,0,0,0,0,0,0,2,2,4,17,0,23
85,Dmitrii FAKIRIANOV (RUS),0,0,0,0,0,0,0,2,2,4,17,0,23
86,Ben MOON (GBR),0,0,0,0,0,0,0,2,0,2,9,0,22
87,Michaël FUSELIER (FRA),0,0,0,0,0,0,0,2,0,2,49,0,4
88,Sylvain MILLET (FRA),0,0,0,0,0,0,0,1,3,4,70,0,5
89,Jindrich HUDECEK (CZE),0,0,0,0,0,0,0,1,1,2,7,0,28
90,Yufei PAN (CHN),0,0,0,0,0,0,0,1,1,2,24,0,8
91,Pavel SAMOILINE (RUS),0,0,0,0,0,0,0,1,0,1,21,0,4
92,Daniel WINKLER (SUI),0,0,0,0,0,0,0,1,0,1,28,0,3
93,Minoru NAKANO (JPN),0,0,0,0,0,0,0,1,0,1,24,0,4
94,Max BERTONE (FRA),0,0,0,0,0,0,0,1,0,1,13,0,7
95,Hamish MCARTHUR (GBR),0,0,0,0,1,1,0,0,0,0,0,0,0
96,Martin STRANIK (CZE),0,0,0,0,0,0,0,0,2,2,40,0,5
97,Robert CORTIJO (FRA),0,0,0,0,0,0,0,0,2,2,8,0,25
98,Magnus MIDTBOE (NOR),0,0,0,0,0,0,0,0,2,2,58,0,3
99,Filip SCHENK (ITA),0,0,0,0,0,0,0,0,1,1,34,0,2
100,Patxi AROCENA (ESP),0,0,0,0,0,0,0,0,1,1,30,0,3
101,Ron KAUK (USA),0,0,0,0,0,0,0,0,1,1,1,0,100
102,Nicola SARTORI (ITA),0,0,0,0,0,0,0,0,1,1,12,0,8
103,Ian VICKERS (GBR),0,0,0,0,0,0,0,0,1,1,25,0,4
104,Aljosa GROM (SLO),0,0,0,0,0,0,0,0,1,1,42,0,2
105,Keita MOGAKI (JPN),0,0,0,0,0,0,0,0,1,1,13,0,7
106,Fedir SAMOILOV (UKR),0,0,0,0,0,0,0,0,1,1,33,0,3
107,Shuta TANAKA (JPN),0,0,0,0,0,0,0,0,1,1,15,0,6
108,Thomas TAUPORN (GER),0,0,0,0,0,0,0,0,1,1,40,0,2
109,Max RUDIGIER (AUT),0,0,0,0,0,0,0,0,1,1,51,0,1
110,Thomas JOANNES (FRA),0,0,0,0,0,0,0,0,1,1,37,0,2
111,Hanwool KIM (KOR),0,0,0,0,0,0,0,0,1,1,35,0,2
112,Yuki HADA (JPN),0,0,0,0,0,0,0,0,1,1,25,0,4
