,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
71,Hryhorii ILCHYSHYN (UKR),0,0,0,0,0,0,0,1,0,1,4,0,25
72,Jingjie HUANG (CHN),0,0,0,0,0,0,0,1,0,1,6,0,16
73,Rishat KHAIBULLIN (KAZ),0,0,0,0,0,0,0,1,0,1,19,0,5
74,Liang ZHANG (CHN),0,0,0,0,0,0,0,1,0,1,16,0,6
75,Tobias PLANGGER (AUT),0,0,0,0,0,0,0,1,0,1,15,0,6
76,Sabri SABRI (INA),0,0,0,0,0,0,0,1,0,1,9,0,11
77,Lev RUDATSKIY (RUS),0,0,0,0,0,0,0,1,0,1,9,0,11
78,Yuhang ZHANG (CHN),0,0,0,0,0,0,0,1,0,1,8,0,12
79,Hetai MA (CHN),0,0,0,0,0,0,0,1,0,1,5,0,20
80,Dmitrii BYCHKOV (RUS),0,0,0,0,1,1,0,0,0,0,0,0,0
81,Ryo OMASA (JPN),0,0,0,0,0,0,0,0,2,2,16,0,12
82,Kevin AMON (AUT),0,0,0,0,0,0,0,0,1,1,10,0,10
83,Long CAO (CHN),0,0,0,0,0,0,0,0,1,1,15,0,6
84,Alessandro SANTONI (ITA),0,0,0,0,0,0,0,0,1,1,24,0,4
85,Sufriyanto RINDI (INA),0,0,0,0,0,0,0,0,1,1,6,0,16
86,Marat SADYROV (RUS),0,0,0,0,0,0,0,0,1,1,13,0,7
87,Oleksandr SALIMOV (UKR),0,0,0,0,0,0,0,0,1,1,10,0,10
88,Denis OMELTCHENKO (RUS),0,0,0,0,0,0,0,0,1,1,3,0,33
89,Stephan HILGERS (GER),0,0,0,0,0,0,0,0,1,1,2,0,50
90,Valeriy VOROBYEV (RUS),0,0,0,0,0,0,0,0,1,1,10,0,10
91,Guangpu LI (CHN),0,0,0,0,0,0,0,0,1,1,7,0,14
92,Sergey RUKIN (RUS),0,0,0,0,0,0,0,0,1,1,7,0,14
93,Galar pandu ASMORO (INA),0,0,0,0,0,0,0,0,1,1,1,0,100
