,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
73,Jenny LAVARDA (ITA),0,0,0,0,0,0,0,0,2,2,43,0,4
74,Stella MARCHISIO (ITA),0,0,0,0,0,0,0,0,2,2,23,0,8
75,Andrea KÜMIN (SUI),0,0,0,0,0,0,0,0,1,1,28,0,3
76,Ai MORI (JPN),0,0,0,0,0,0,0,0,1,1,9,0,11
77,Flavy COHAUT (FRA),0,0,0,0,0,0,0,0,1,1,18,0,5
78,Mia KRAMPL (SLO),0,0,0,0,0,0,0,0,1,1,13,0,7
79,Ekaterina KIPRIIANOVA (RUS),0,0,0,0,0,0,0,0,1,1,19,0,5
80,Angelica LIND (SWE),0,0,0,0,0,0,0,0,1,1,29,0,3
81,Anja HODANN (SWE),0,0,0,0,0,0,0,0,1,1,22,0,4
82,Tatiana SHEMULINKINA (RUS),0,0,0,0,0,0,0,0,1,1,19,0,5
83,Anna GALLYAMOVA (RUS),0,0,0,0,0,0,0,0,1,1,26,0,3
84,Angela EITER (AUT),0,0,0,0,0,0,0,0,1,1,5,0,20
85,Alexandra EYER (SUI),0,0,0,0,0,0,0,0,1,1,15,0,6
86,Iwona GRONKIEWICZ-MARCISZ (POL),0,0,0,0,0,0,0,0,1,1,10,0,10
87,Isabelle BIHR (FRA),0,0,0,0,0,0,0,0,1,1,9,0,11
88,Claire BELL (GBR),0,0,0,0,0,0,0,0,1,1,10,0,10
89,Annatina SCHULTZ (SUI),0,0,0,0,0,0,0,0,1,1,2,0,50
