Squad,Nation,Time,When,Type,Athletes,Where
RSA 1,RSA,23.04,2026-06-12,female,"[['Aniya', 'HOLDER'], ['Tegwen', 'OATES']]",The World Games Chengdu 2025
CHN 1,CHN,12.89,2026-07-05,female,"[['Yafei', 'ZHOU'], ['Lijuan', 'DENG']]",World Climbing Series Krakow 2026
POL 2,POL,13.09,2026-07-05,female,"[['Natalia', 'KALUCKA'], ['Aleksandra', 'KALUCKA']]",World Climbing Series Krakow 2026
NZL 2,NZL,17.68,2026-06-11,female,"[['Jorja', 'RANGI'], ['Abby', 'GEBERT']]",The World Games Chengdu 2025
USA 1,USA,14.52,2026-06-11,female,"[['Sophia', 'CURCIO'], ['Emma', 'HUNT']]",The World Games Chengdu 2025
