,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
71,Natalia TITOVA (RUS),0,0,0,0,1,1,0,0,3,3,11,0,27
72,Venera CHERESHNEVA (RUS),0,0,0,0,1,1,0,0,1,1,4,0,25
73,Tamara KUZNETSOVA (KAZ),0,0,0,0,1,1,0,0,0,0,0,0,0
74,Adi Asih KADEK (INA),0,0,0,0,0,0,0,0,1,1,2,0,50
75,Nurul IQAMAH (INA),0,0,0,0,0,0,0,0,1,1,12,0,8
76,Miho NONAKA (JPN),0,0,0,0,0,0,0,0,1,1,8,0,12
77,Elma FLEURET (FRA),0,0,0,0,0,0,0,0,1,1,13,0,7
78,Puji LESTARI (INA),0,0,0,0,0,0,0,0,1,1,10,0,10
79,Marina KLEONOVA (RUS),0,0,0,0,0,0,0,0,1,1,1,0,100
80,Susan WINKLER (GER),0,0,0,0,0,0,0,0,1,1,2,0,50
81,Kseniya POLEKHINA (RUS),0,0,0,0,0,0,0,0,1,1,15,0,6
82,Galina TERENTEVA (RUS),0,0,0,0,0,0,0,0,1,1,3,0,33
