Gender,,Female,Female,Female,Male,Male,Male
Position,,1,2,3,1,2,3
StartDate,Event,,,,,,
2022-08-11,EuroChamp Munich 2022,Janja GARNBRET,Jessica PILZ,Manon HILY,Adam ONDRA,Luka POTOCAR,Alberto GINÉS LÓPEZ
2023-08-01,Wchamp 2023,Ai MORI,Janja GARNBRET,Chaehyun SEO,Jakob SCHUBERT,Sorato ANRAKU,Alexander MEGOS
2024-08-27,EuroChamp Villars 2024,Laura ROGORA,Ievgeniia KAZBEKOVA,Lynn VAN DER MEER,Sascha LEHMANN,Sam AVEZOU,Guillermo PEINADO FRANGANILLO
