Squad,Nation,Time,When,Type,Athletes,Where
AUS 1,AUS,14.37,2026-07-05,male,"[['Fin Luc', 'SANDECK'], ['Hayden', 'BARTON']]",World Climbing Series Krakow 2026
NZL 2,NZL,17.68,2026-06-11,female,"[['Jorja', 'RANGI'], ['Abby', 'GEBERT']]",The World Games Chengdu 2025
RSA 1,RSA,15.55,2026-09-12,mixed,"[['Aniya', 'HOLDER'], ['John-David', 'MULLER']]",World Climbing Series Guiyang 2026
