Athlete,Nation,Time,When,Where
Holder Aniya,RSA,9.12,2024-08-05,Olympic Games Paris 2024
Deng Lijuan,CHN,6.18,2024-08-07,Olympic Games Paris 2024
Miroslaw Aleksandra,POL,6.06,2024-08-05,Olympic Games Paris 2024
Tetzlaff Sarah,NZL,8.39,2024-08-05,Olympic Games Paris 2024
Hunt Emma,USA,6.36,2024-08-05,Olympic Games Paris 2024
