,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
73,Alex JOHNSON (USA),0,1,0,0,0,0,2,2,0,4,33,6,12
74,Annie SANDERS (USA),0,1,0,0,0,0,2,0,4,6,17,11,35
75,Megan MASCARENAS (USA),0,1,0,0,0,0,2,0,2,4,13,15,30
76,Shaoqin ZHANG (CHN),0,1,0,0,0,0,2,0,1,3,12,16,25
77,Erin MCNEICE (GBR),0,0,0,0,0,0,2,0,2,4,18,11,22
78,Caroline CIAVALDINI (FRA),0,5,0,0,0,0,1,10,2,13,70,1,18
79,Brooke RABOUTOU (USA),0,4,0,0,1,1,1,3,9,13,43,2,30
80,Luisa IOVANE (ITA),0,4,0,0,0,0,1,2,3,6,62,1,9
81,Hélène JANICOT (FRA),0,3,0,0,0,0,1,1,4,6,80,1,7
82,Oriane BERTONE (FRA),0,2,0,1,0,1,1,8,0,9,26,3,34
83,Klaudia BUCZEK (POL),0,2,0,1,0,1,1,2,1,4,56,1,7
84,Mayya PIRATINSKAYA (RUS),0,2,0,1,0,1,1,1,1,3,36,2,8
85,Olena OSTAPENKO (UKR),0,2,0,0,0,0,1,2,0,3,67,1,4
86,Alexandra EYER (SUI),0,2,0,0,0,0,1,1,3,5,92,1,5
87,Vita LUKAN (SLO),0,2,0,0,0,0,1,0,2,3,53,1,5
88,Mei KOTAKE (JPN),0,2,0,0,0,0,1,0,1,2,57,1,3
89,Katharina SAURWEIN (AUT),0,1,0,0,0,0,1,3,2,6,119,0,5
90,Katrin SEDLMAYER (GER),0,1,0,0,0,0,1,2,1,4,16,6,25
91,Chloé MINORET (FRA),0,1,0,0,1,1,1,1,2,4,51,1,7
92,Chunhua LI (CHN),0,1,0,0,1,1,1,1,1,3,32,3,9
93,Rajiah SALLSABILLAH (INA),0,1,0,0,0,0,1,1,0,2,20,5,10
94,Lucelia BLANCO (VEN),0,1,0,0,0,0,1,0,1,2,26,3,7
95,Yulia INOZEMTSEVA (RUS),0,1,0,0,0,0,1,0,0,1,30,3,3
96,Katie BROWN (USA),0,1,0,0,0,0,1,0,0,1,4,25,25
97,Ekaterina BARASHCHUK (RUS),0,1,0,0,0,0,1,0,0,1,9,11,11
98,Emilie POUGET (FRA),0,0,0,1,0,1,1,1,1,3,19,5,15
99,Cuifang HE (CHN),0,0,0,1,0,1,1,1,0,2,16,6,12
100,Naïlé MEIGNAN (FRA),0,0,0,0,0,0,1,1,1,3,8,12,37
101,Evi NELIWATI (INA),0,0,0,0,0,0,1,1,1,3,13,7,23
102,Yafei ZHOU (CHN),0,0,0,0,0,0,1,1,0,2,10,10,20
103,Eliska ADAMOVSKA (CZE),0,0,0,0,0,0,1,1,0,2,26,3,7
104,Marietta UHDEN (GER),0,0,0,0,1,1,1,0,4,5,47,2,10
105,Esther BRUCKNER (FRA),0,0,0,0,0,0,1,0,1,2,10,10,20
106,Rosmery DA SILVA (VEN),0,0,0,0,0,0,1,0,0,1,6,16,16
107,Lai-sho CHENG (HKG),0,0,0,0,0,0,1,0,0,1,11,9,9
108,Josune BERECIARTU URRUZOLA (ESP),0,0,0,0,0,0,1,0,0,1,21,4,4
109,Alexandra BALAKIREVA (RUS),0,0,0,0,0,0,1,0,0,1,24,4,4
110,Elena OVTCHINNIKOVA (USA),0,3,0,0,1,1,0,2,3,5,37,0,13
111,Agung ethi HENDRAWATI (INA),0,2,0,0,0,0,0,5,1,6,14,0,42
112,Melissa LE NEVE (FRA),0,2,0,0,0,0,0,4,6,10,56,0,17
113,Fanny GIBERT (FRA),0,2,0,0,0,0,0,3,4,7,79,0,8
114,Natalia NOVIKOVA (RUS),0,2,0,0,1,1,0,2,0,2,22,0,9
115,Emilie ABGRALL (FRA),0,2,0,0,0,0,0,2,2,4,24,0,16
116,Corinne THEROUX (FRA),0,2,0,0,0,0,0,2,0,2,31,0,6
117,Vera KOTASOVA-KOSTRUHOVA (CZE),0,2,0,0,1,1,0,0,2,2,32,0,6
118,Annatina SCHULTZ (SUI),0,2,0,0,0,0,0,0,2,2,31,0,6
119,Natsuki TANII (JPN),0,2,0,0,0,0,0,0,2,2,32,0,6
120,Marie GUILLET (FRA),0,2,0,0,0,0,0,0,1,1,21,0,4
121,Delphine MARTIN (FRA),0,2,0,0,0,0,0,0,1,1,37,0,2
122,Lucka RAKOVEC (SLO),0,2,0,0,0,0,0,0,1,1,40,0,2
123,Olesya SAULEVICH (RUS),0,2,0,0,0,0,0,0,0,0,0,0,0
124,Futaba ITO (JPN),0,2,0,0,0,0,0,0,0,0,0,0,0
125,Cecile AVEZOU (FRA),0,1,0,2,0,2,0,2,0,2,65,0,3
126,Olga IAKOVLEVA (RUS),0,1,0,1,0,1,0,1,1,2,27,0,7
127,Di NIU (CHN),0,1,0,1,0,1,0,1,1,2,35,0,5
128,Irina ZAYTSEVA (RUS),0,1,0,1,0,1,0,0,0,0,0,0,0
129,Anna BROZEK (POL),0,1,0,1,0,1,0,0,0,0,0,0,0
130,Hannah MEUL (GER),0,1,0,0,0,0,0,3,0,3,38,0,7
