Squad,Nation,Time,When,Type,Athletes,Where
RSA 1,RSA,13.88,2026-06-11,male,"[['Joshua', 'BRUYNS'], ['John-David', 'MULLER']]",The World Games Chengdu 2025
CHN 2,CHN,9.75,2026-06-26,male,"[['Jianguo', 'LONG'], ['Yicheng', 'ZHAO']]",Asian Beach Games Sanya 2026
UKR 1,UKR,10.31,2026-07-05,male,"[['Hryhorii', 'ILCHYSHYN'], ['Yaroslav', 'TKACH']]",World Climbing Series Krakow 2026
AUS 1,AUS,14.37,2026-07-05,male,"[['Fin Luc', 'SANDECK'], ['Hayden', 'BARTON']]",World Climbing Series Krakow 2026
USA 1,USA,9.91,2026-07-05,male,"[['Samuel', 'WATSON'], ['Zach', 'HAMMER']]",World Climbing Series Krakow 2026
