,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
72,Guillaume GLAIRON MONDET (FRA),0,3,0,0,0,0,3,5,1,9,69,4,13
73,Sergey ABDRAKHMANOV (RUS),0,2,0,1,0,1,3,0,3,6,23,13,26
74,Sean BAILEY (USA),0,2,0,0,0,0,3,1,1,5,65,4,7
75,Dohyun LEE (KOR),0,1,0,0,1,1,3,4,0,7,34,8,20
76,Didier RABOUTOU (FRA),0,1,0,0,0,0,3,2,2,7,12,25,58
77,Aleksandr SHIKOV (RUS),0,1,0,0,1,1,3,1,0,4,41,7,9
78,Colin DUFFY (USA),0,0,0,1,0,1,3,0,2,5,35,8,14
79,Iakov SOUBBOTINE (RUS),0,4,0,0,0,0,2,1,1,4,27,7,14
80,Manuel ESCOBAR (VEN),0,3,0,1,0,1,2,1,2,5,27,7,18
81,Stephane JULIEN (FRA),0,3,0,0,0,0,2,0,1,3,43,4,6
82,Gautier SUPPER (FRA),0,2,0,0,1,1,2,0,4,6,59,3,10
83,Jacky GODOFFE (FRA),0,1,0,1,0,1,2,0,2,4,12,16,33
84,Cédric LACHAT (SUI),0,1,0,0,3,3,2,5,10,17,72,2,23
85,Jesse GRUPPER (USA),0,1,0,0,0,0,2,2,1,5,30,6,16
86,Peng WU (CHN),0,1,0,0,0,0,2,2,0,4,11,18,36
87,Rei SUGIMOTO (JPN),0,1,0,0,0,0,2,1,2,5,59,3,8
88,Sascha LEHMANN (SUI),0,1,0,0,0,0,2,1,1,4,72,2,5
89,Ludovic LAURENCE (FRA),0,1,0,0,0,0,2,0,1,3,47,4,6
90,Jianguo LONG (CHN),0,1,0,0,0,0,2,0,1,3,14,14,21
91,Alfian MUHAMMAD (INA),0,1,0,0,0,0,2,0,0,2,19,10,10
92,Cristian BRENNA (ITA),0,4,0,0,0,0,1,3,3,7,63,1,11
93,Jean-baptiste TRIBOUT (FRA),0,4,0,0,0,0,1,2,5,8,32,3,25
94,Yevgen KRYVOSHEYTSEV (UKR),0,3,0,1,1,2,1,3,0,4,57,1,7
95,Serik KAZBEKOV (UKR),0,3,0,1,0,1,1,3,4,8,63,1,12
96,Alexei GADEEV (RUS),0,3,0,0,1,1,1,2,1,4,14,7,28
97,Alexandre CHAOULSKY (RUS),0,3,0,0,0,0,1,2,4,7,16,6,43
98,Chris SHARMA (USA),0,2,0,1,0,1,1,3,2,6,9,11,66
99,Taisei HOMMA (JPN),0,2,0,0,0,0,1,5,1,7,33,3,21
100,Gabriele MORONI (ITA),0,2,0,0,0,0,1,4,0,5,62,1,8
101,Kiromal KATIBIN (INA),0,2,0,0,0,0,1,3,5,9,15,6,60
102,François AUCLAIR (FRA),0,2,0,0,0,0,1,2,2,5,35,2,14
103,Tsukuru HORI (JPN),0,2,0,0,0,0,1,2,2,5,67,1,7
104,Hyunbin MIN (KOR),0,2,0,0,0,0,1,1,3,5,55,1,9
105,Yaroslav GONTARYK (UKR),0,2,0,0,0,0,1,1,3,5,18,5,27
106,Alexander MEGOS (GER),0,1,0,1,2,3,1,5,4,10,54,1,18
107,Jinbao LONG (CHN),0,1,0,1,0,1,1,2,1,4,16,6,25
108,Klemen BECAN (SLO),0,1,0,0,0,0,1,2,1,4,110,0,3
109,Xinshang WANG (CHN),0,1,0,0,0,0,1,2,1,4,10,10,40
110,Keiichiro KORENAGA (JPN),0,1,0,0,0,0,1,2,0,3,27,3,11
111,Andreas BINDHAMMER (GER),0,1,0,0,0,0,1,1,1,3,66,1,4
112,Masahiro HIGUCHI (JPN),0,1,0,0,0,0,1,1,1,3,61,1,4
113,Arsenii SHEVCHENKO (RUS),0,1,0,0,0,0,1,1,0,2,30,3,6
114,Ao YURIKUSA (JPN),0,1,0,0,0,0,1,1,0,2,25,4,8
115,Elie CHEVIEUX (SUI),0,1,0,0,1,1,1,0,3,4,35,2,11
116,Gregor VEZONIK (SLO),0,1,0,0,1,1,1,0,2,3,49,2,6
117,Alban LEVIER (FRA),0,1,0,0,1,1,1,0,1,2,40,2,5
118,Rahmad ADI MULYONO (INA),0,1,0,0,1,1,1,0,1,2,11,9,18
119,Christoph FINKEL (GER),0,1,0,0,0,0,1,0,2,3,18,5,16
120,Jonas BAUMANN (GER),0,1,0,0,0,0,1,0,2,3,62,1,4
121,Keita WATABE (JPN),0,1,0,0,0,0,1,0,2,3,31,3,9
