Squad,Nation,Time,When,Type,Athletes,Where
CHN 1,CHN,9.58,2026-09-13,male,"[['Yongzhi', 'LING'], ['Yicheng', 'ZHAO']]",World Climbing Series Guiyang 2026
POL 2,POL,13.09,2026-07-05,female,"[['Natalia', 'KALUCKA'], ['Aleksandra', 'KALUCKA']]",World Climbing Series Krakow 2026
USA 1,USA,10.89,2026-07-04,mixed,"[['Samuel', 'WATSON'], ['Emma', 'HUNT']]",World Climbing Series Krakow 2026
