Squad,Nation,Time,When,Type,Athletes,Where
CHN 2,CHN,9.75,2026-06-26,male,"[['Jianguo', 'LONG'], ['Yicheng', 'ZHAO']]",Asian Beach Games Sanya 2026
CHN 1,CHN,12.89,2026-07-05,female,"[['Yafei', 'ZHOU'], ['Lijuan', 'DENG']]",World Climbing Series Krakow 2026
RSA 1,RSA,15.55,2026-09-12,mixed,"[['Aniya', 'HOLDER'], ['John-David', 'MULLER']]",World Climbing Series Guiyang 2026
